trial,optuna_trial_number,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,objective_J,pooled_nrmse_range,pooled_r2,pooled_rmse,pooled_mae,mean_fold_nrmse_training_range,sd_fold_nrmse_training_range,worst_fold_nrmse_training_range,prediction_range_coverage,duration_seconds,performance_index
31,30,tpe,15,0.39036488119467183,1.7614690963220498,1.471494143122884,748,5,0.16761305466962773,2.477320700516147,0.8074133527710705,0.6883629643125497,0.0009622971570858446,18.175527204948843,0.28667444865044917,0.22604853766646443,0.4383851582381625,8399.53530633662,4920.301031042375,0.17850697052848294,0.24250364393593893,0.9727865730376929,0.851580076442627,165.77508149994537,0.28667444865044917
85,84,tpe,21,0.2936449180105062,1.8250008152755013,0.8272457665203832,722,3,0.16745864727197865,2.6884355962468494,0.9104930974415383,0.8505894559609931,0.0004428893456595397,0.021886725597513076,0.28777605154480723,0.2257020531983731,0.4401055116498527,8386.660600077186,4801.271870007134,0.17767986513244224,0.24829599338573657,1.0054804968697897,0.9587837690053387,126.00558080011979,0.28777605154480723
22,21,tpe,21,0.4666132495126741,1.8438787976545885,1.1361314869195236,843,4,0.18397804892118083,2.6266691053326228,0.8716623785095537,0.6280002018711687,1.9693107217990345e-05,21.693666899016137,0.2882272185220951,0.22560272982755838,0.4405981821504491,8382.969931831707,4797.404284098723,0.1737174195895955,0.2504979547781469,1.0025124143467827,0.8845294164826593,183.40515110013075,0.2882272185220951
71,70,tpe,18,0.44308258654013344,1.3853892114749073,0.7587070090224307,751,4,0.07456789492002291,2.6090578312870365,0.9190553665799717,0.8593576029331214,1.2854188773121495e-05,0.06331431534932973,0.2890547712783152,0.2268530347925742,0.4343805180796829,8429.428895051518,4847.936168728798,0.17893912379757207,0.24880694594296393,1.007644550112278,0.8942423071895134,160.97783230012283,0.2890547712783152
83,82,tpe,15,0.6947332835088269,1.6182421168893375,0.8667697130947738,737,4,0.04722000849399878,0.6411053110357426,0.882359576685881,0.9881704566941403,1.937484734042462e-05,14.30510533900167,0.2892744462942345,0.22720135670143876,0.4326422216237784,8442.371877128206,4904.031462839902,0.17870557632898956,0.24829235837118285,1.0017243428793363,0.8206054383355095,152.28306480008177,0.2892744462942345
92,91,tpe,16,0.7911415927873644,1.1862526425215365,0.8369825486712598,545,4,0.03592816741944779,4.2019500552483,0.7969828900628306,0.981351443042344,5.8126511334294004e-05,29.997161087466072,0.28947453244502735,0.22649253072050368,0.4361768009119088,8416.033246874831,4857.761805165782,0.17465985465731318,0.2519280068980947,1.0101700238763875,0.839142793005178,124.79059750004672,0.28947453244502735
76,75,tpe,18,0.2967695713988766,1.7260038091572252,0.5663429651123096,652,3,0.10436651730683831,1.7824791277944037,0.9257590027055531,0.9018481084041624,1.203290243203151e-05,0.012311088255003766,0.28960879010873786,0.22657153085017348,0.4357834115688288,8418.968741991132,4819.842810121239,0.17612843237231676,0.25214903703425756,1.0171382971758178,0.8387621867693631,123.65464429999702,0.28960879010873786
62,61,tpe,15,0.6324652016584522,1.4324332150339665,0.9241449516460314,635,3,0.07335377256041108,1.5425944035531494,0.846436118379614,0.9274972122091055,6.039309991820786e-06,0.27860456690779833,0.28984849779695815,0.22744795404310586,0.43140996801080456,8451.534967052006,4855.591253312283,0.17871557326988166,0.24960217501540907,1.0081916671154925,0.815531206093591,106.14594010007568,0.28984849779695815
77,76,tpe,19,0.07715241244307891,1.9233987752575814,0.49706443905575126,1063,3,0.07995865236958642,4.712538199271192,0.88168598967448,0.9052744880287517,1.8093788897359545e-05,0.019897748035575126,0.29128543669566037,0.22903056894630142,0.42346978024102544,8510.34193785993,4931.601450345366,0.17930131193789256,0.24901947099743577,0.9986203117461312,0.9504745884756176,183.06677530007437,0.29128543669566037
54,53,tpe,19,0.3995624531118711,1.3231891484700735,0.8363790168885465,673,2,0.04292871714926191,1.1777817992934454,0.8842524546521445,0.9215331285436152,8.486157869065754e-06,3.3648966403857226,0.29141720667364834,0.22765464551791786,0.43037609534597066,8459.215230583566,4835.702221755827,0.17594285967435494,0.25505024462292203,1.0278278676941173,0.7821005435266877,99.59764159983024,0.29141720667364834
