Temperature,n,mae,rmse,nrmse_range,r2,median_ape_pct
30C,84,4022.195933284914,8321.313484789165,0.22394342973733053,0.448796682155459,51.83262518169931
40C,84,4673.825868728486,8172.391337215653,0.21993563258458257,0.46834932939204565,48.99097046706099
50C,84,3880.1239166828504,7357.94606676535,0.19801725785547455,0.569035738691005,51.701502976600075
60C,84,4016.5518178755683,6807.549117877159,0.1832049592110008,0.6310991774602867,84.77353024726735
