trial,optuna_trial_number,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,objective_J,pooled_nrmse_range,pooled_r2,pooled_rmse,pooled_mae,mean_fold_nrmse_training_range,sd_fold_nrmse_training_range,worst_fold_nrmse_training_range,prediction_range_coverage,duration_seconds,performance_index
79,78,tpe,13,0.36271115067874177,1.6491353351030806,0.9774091980814712,1001,4,0.14067882177870286,2.349376848330059,0.9876512262265423,0.4091982767722205,0.9600220512568372,1.6000433828830372,0.26751531547474405,0.20641505993459716,0.5317067125620011,7669.9924785112025,4187.130344102754,0.15275808613492242,0.24440102216058765,0.9836022930585786,0.9011987292402841,29.444351874999484,0.26751531547474405
61,60,tpe,10,0.37041243237647903,0.4691303740288688,1.0558579322635724,845,2,0.09978778116732302,0.5117731697600695,0.9918215481676903,0.6315218865952149,1.3836912374175525e-05,23.783332561073923,0.26829703859596743,0.20749156670513585,0.5268094395267786,7709.9934301651865,4264.725245256971,0.15418696408338403,0.2432218875633264,0.9765027665786327,0.9215304372626524,37.3036015419998,0.26829703859596743
62,61,tpe,11,0.43734640301065963,0.4185186734835705,0.974335499487908,810,3,0.10638939102053617,0.9832427777484624,0.9843602923817469,0.5129058156865113,0.0005588299518957413,22.010292743695352,0.26832046396224324,0.2068158794657017,0.5298862704275731,7684.886172749338,4213.708215575991,0.153186524071947,0.24601833798616604,0.9927806259043607,0.9158239137321182,35.305357791999995,0.26832046396224324
93,92,tpe,15,0.49087972417821246,0.4785349913429491,1.0326842937422387,478,3,0.16321189337217382,1.2370550728835785,0.9271961958507274,0.7538042142289128,0.0016557997702355348,29.29845967412128,0.2686320352092282,0.20768746742877545,0.5259155031154965,7717.272729831242,4276.391320680203,0.15431270278927928,0.24377827112181083,0.9792954227853818,0.9998838702226692,40.24945062500046,0.2686320352092282
76,75,tpe,10,0.3527309977658163,0.28533441901994616,1.003007865168734,641,3,0.1824323219613901,1.1839168064964347,0.9694583793784624,0.5173059654712544,0.0005483676144345937,13.4530645223298,0.2701580882372755,0.20830995837922195,0.5230693460827373,7740.403313953247,4180.127368545211,0.153206781116575,0.2473925194322143,0.9935512216181491,0.8997670035968964,31.99970116699933,0.2701580882372755
72,71,tpe,11,0.590548732506344,1.6417558776188672,0.8012160001565056,1194,3,0.0803294556616665,1.746615535852463,0.9549812553863827,0.42863119900112173,0.00220919539828998,0.6607977333488791,0.27044202338481527,0.20823864818382315,0.5233958230030674,7737.753562222326,4222.039596658581,0.15406763702169826,0.24881350080396838,1.005504782045426,0.8543072496995685,60.930694292000226,0.27044202338481527
70,69,tpe,11,0.25514435524161094,1.481753773613701,0.8336809660443236,851,2,0.06855256542705135,3.0436847059636967,0.9635176714201418,0.4592626364635925,0.0005708162570547386,24.453102697250856,0.2704641739715152,0.20853500782916481,0.5220382771774006,7748.765725053007,4228.829775028343,0.15313683026765673,0.24771666456940153,0.9940955637771013,0.8957503788066468,32.057006415999695,0.2704641739715152
59,58,tpe,11,0.2718541631139167,0.7583010457984227,0.819871648542514,986,2,0.15953263256139621,0.6481533440474897,0.9692731845130081,0.45433931355537865,0.0006444996485831228,5.955071636909069,0.2707132931005883,0.20894247559431267,0.5201686221280573,7763.906455070042,4254.716315709226,0.1549708696133682,0.24708327002510247,0.9950761236359034,0.9999400322588222,36.52693854100016,0.2707132931005883
58,57,tpe,11,0.31699726193224254,0.7052058581388708,0.9568825160678572,931,2,0.08433925406457099,0.6295384018649933,0.9852530021501131,0.5048390371832816,8.920312794488684e-05,23.638553348214742,0.27075315261914207,0.20889683198084008,0.5203782381547823,7762.210424886306,4262.930414114717,0.15461491769286093,0.24742528255320798,0.996012885340521,0.9044285138475514,36.609437499999785,0.27075315261914207
90,89,tpe,11,0.24946771011220892,1.4460903834373198,0.9153342166323402,970,2,0.08212555408207692,2.693192220502402,0.8410217297966466,0.41385003146590477,0.011894504342422408,11.640824304451288,0.2713798447532447,0.2093766114736807,0.518172585376302,7780.038121676441,4259.871644014226,0.15453153931985722,0.2480129331182562,0.996789108558515,0.9443661889834079,37.100444874999994,0.2713798447532447
66,65,tpe,11,0.3701548389883691,1.1565722139715524,0.8687710488158904,1037,3,0.08163270358642151,2.3780473199241987,0.9491332104082573,0.4530868787005788,0.0007116518543298634,5.887112979090811,0.27169646795165725,0.20896305536550958,0.5200740955723495,7764.671160369839,4201.192828088858,0.1535592814727079,0.2509336503445908,1.0126249712423665,0.8570230855917782,43.05236108300005,0.27169646795165725
