condition,n,mae,rmse,nrmse_range,r2,median_ape_pct,candidate_esn_predictors,candidate_thermal_predictors,candidate_total_predictors,mean_retained_predictors,min_retained_predictors,max_retained_predictors,mean_retention_fraction
D_summarized_ESN_plus_thermal,336,4520.978479501568,8116.52526861499,0.2184321633268455,0.475593161344007,51.38468316173454,180,27,207,207.0,207,207,1.0
F_optimized_summarized_ESN,336,4682.470570228458,8240.61638148943,0.2217717069539209,0.45943558745960555,52.07080237520526,180,0,180,34.023809523809526,26,39,0.18902116402116403
B_summarized_ESN_states,336,4707.292108701708,8316.406909454048,0.22381138383967036,0.44944651304160177,51.147995024152706,180,0,180,180.0,180,180,1.0
G_optimized_summarized_ESN_plus_thermal,336,4674.633976677507,8348.036686392574,0.22466260531358645,0.445250710870408,53.65430141567131,180,27,207,41.595238095238095,33,48,0.20094317920404875
E_thermal_features_only,336,4739.239462182669,8349.120067684726,0.22469176130232804,0.44510671437817795,54.319138421420035,0,27,27,27.0,27,27,1.0
C_raw_ESN_plus_thermal,336,4875.752709163278,8574.783748307855,0.23076482881724256,0.4147055461771668,56.80902918135708,620,27,647,647.0,647,647,1.0
A_raw_ESN_states,336,5169.386960621747,8976.30396127133,0.24157055242857722,0.35860856300339394,56.32336453499579,620,0,620,620.0,620,620,1.0
