condition,fold,held_out_material,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
A_raw_ESN_states,1,aluminum,24,12360.759986827985,13054.071575644091,0.35131155268096537,-12360.759986827985,53.329667552833406
B_summarized_ESN_states,1,aluminum,24,10196.602406774327,10865.171832082433,0.29240381932608134,-9589.796222213457,44.5146972671355
C_raw_ESN_plus_thermal,1,aluminum,24,10712.932203455319,11242.887671084929,0.30256891893528987,-10712.932203455319,45.378643373584104
D_summarized_ESN_plus_thermal,1,aluminum,24,8727.536756682097,9488.462018933937,0.2553537649238435,-8245.505474464977,36.858728336946875
A_raw_ESN_states,2,bismuth,24,8409.631715066562,9325.846383929233,0.25097744824037344,8367.27314226386,282.5167004258042
B_summarized_ESN_states,2,bismuth,24,8280.506120558335,9281.539512283964,0.24978506042620077,8143.464991866454,250.3010794126403
C_raw_ESN_plus_thermal,2,bismuth,24,9079.847103309867,9715.4579739406,0.2614626866455903,9079.847103309867,296.44791740779635
D_summarized_ESN_plus_thermal,2,bismuth,24,8619.14433434828,9176.45211240449,0.2469569452741631,8619.14433434828,270.6421229812457
A_raw_ESN_states,3,cement,24,2079.8669086235127,3945.356346444723,0.10617754437130916,1931.3463160509855,39.75781409947283
B_summarized_ESN_states,3,cement,24,1372.9323884365185,2417.124876351611,0.06504973474476854,1189.2061344035792,34.64206048767709
C_raw_ESN_plus_thermal,3,cement,24,223.85378434922958,289.32875916178637,0.007786423954195998,79.05738939659388,34.92214580472481
D_summarized_ESN_plus_thermal,3,cement,24,146.40049826396566,173.7641352664319,0.004676345445708458,19.530911370945535,24.698214269221072
A_raw_ESN_states,4,copper,24,25436.47138363639,25899.996656540214,1.0826129223463947,-25436.47138363639,69.8379049515738
B_summarized_ESN_states,4,copper,24,24438.797995472458,24743.314421009454,1.034263914744577,-24438.797995472458,65.70181508745995
C_raw_ESN_plus_thermal,4,copper,24,24909.88655833258,25356.56839627009,1.059897766636593,-24909.88655833258,69.24278154036992
D_summarized_ESN_plus_thermal,4,copper,24,24097.304890749696,24513.04839036248,1.0246388563454718,-24097.304890749696,62.47928009189141
A_raw_ESN_states,5,cork,24,77.00723564670172,91.45869464952348,0.002461339041793408,37.09015576226262,47.95797217839383
B_summarized_ESN_states,5,cork,24,83.07567552531133,103.40361282231825,0.002782801025942561,34.67938134369975,52.43038198788611
C_raw_ESN_plus_thermal,5,cork,24,136.955421394772,165.964441885286,0.00446643987132213,84.92825412931786,81.09061384018095
D_summarized_ESN_plus_thermal,5,cork,24,147.80945570098825,175.9222336047846,0.004734424250753427,85.2752312734553,83.3059168140982
A_raw_ESN_states,6,graphite,24,3636.661171620914,4665.254690443156,0.12555146947483126,147.0960062974556,24.771130669828878
B_summarized_ESN_states,6,graphite,24,3392.205647413921,4337.929531072167,0.11674248529669044,-487.23849772408295,22.009363995808705
C_raw_ESN_plus_thermal,6,graphite,24,3980.9292918054634,4683.917789726123,0.1260537313437773,37.14703762205439,30.20854751998766
D_summarized_ESN_plus_thermal,6,graphite,24,3138.5951415681084,4147.667876200514,0.11162215812510357,-1322.450148996327,22.937035931256037
A_raw_ESN_states,7,gypsum,24,2080.8540909626586,4091.712736003358,0.11011629176997949,1933.7666319109685,60.37481522649281
B_summarized_ESN_states,7,gypsum,24,2011.5753775544715,4037.0995471168117,0.10864654004742967,1881.6653107965342,47.11508618060029
C_raw_ESN_plus_thermal,7,gypsum,24,817.3650269880317,1398.8617380494914,0.03764620764735718,696.1516063906438,57.618591505184426
D_summarized_ESN_plus_thermal,7,gypsum,24,860.587177790644,1532.0069888922108,0.04122941649791418,758.4341137572479,56.27458025040234
A_raw_ESN_states,8,iron,24,4333.588914788624,5222.463683634877,0.14054709405308263,-257.4675511939493,22.619792801122397
B_summarized_ESN_states,8,iron,24,4657.439297534273,5495.625353174035,0.14789842882267087,-229.80640481808163,24.834003271383203
C_raw_ESN_plus_thermal,8,iron,24,3803.617804633246,4656.163631119153,0.1253068106227541,-844.4278105255468,20.462431837176588
D_summarized_ESN_plus_thermal,8,iron,24,4478.009291295124,5629.360602747648,0.15149751573617773,-887.2745105580985,20.471442745615242
A_raw_ESN_states,9,nickel,24,7566.9013163359805,8585.07256783548,0.23104172182664262,-7151.459625596558,35.683178299848564
B_summarized_ESN_states,9,nickel,24,5893.9161253265165,6840.477184273391,0.18409112028844007,-4675.610346828654,28.332040594796716
C_raw_ESN_plus_thermal,9,nickel,24,6655.3253392637425,7384.4109489193725,0.19872948153121994,-6056.7076165226645,33.47100142255788
D_summarized_ESN_plus_thermal,9,nickel,24,5930.70499115768,6865.033414096589,0.1847519782573265,-4849.293852416761,31.260545599877894
A_raw_ESN_states,10,pdms,24,182.9447370003913,216.3875110254194,0.005823426969785002,-147.7290002016563,39.516373341952324
B_summarized_ESN_states,10,pdms,24,188.05022095619847,231.37385623374172,0.006226739926485172,-150.30958266142397,38.46054854493527
C_raw_ESN_plus_thermal,10,pdms,24,175.63097073282674,208.7500053787952,0.00561788619641194,-152.43196858714077,29.44703426361908
D_summarized_ESN_plus_thermal,10,pdms,24,176.39928959310092,218.6784575965478,0.005885080990321697,-158.41705592887322,41.72057246877115
A_raw_ESN_states,11,ps_foam,24,150.55304755012708,212.62089175777257,0.0057232919111033145,150.55304755012708,265.2580562641512
B_summarized_ESN_states,11,ps_foam,24,174.6513668157046,270.18232371080643,0.007272720451096631,174.6513668157046,321.26008177863457
C_raw_ESN_plus_thermal,11,ps_foam,24,171.82997253113834,238.21222645597643,0.006412154974660724,171.82997253113834,338.6456526879264
D_summarized_ESN_plus_thermal,11,ps_foam,24,173.35541523531552,243.36265985071296,0.006550793438374601,173.35541523531552,346.94415422028726
A_raw_ESN_states,12,pu_foam,24,189.3958885159694,427.6824043014446,0.011509801263063437,189.17302342351547,221.8062389582133
B_summarized_ESN_states,12,pu_foam,24,138.97358077197876,190.24834560743915,0.00511996899228252,138.97358077197876,236.3331926372968
C_raw_ESN_plus_thermal,12,pu_foam,24,167.00519287487356,373.05802279025096,0.010039748324274645,166.4969233975988,174.145915644676
D_summarized_ESN_plus_thermal,12,pu_foam,24,136.45355405162823,242.9184262968602,0.006537427730700634,135.786830543259,154.25547049213262
A_raw_ESN_states,13,titanium,24,5043.475173450614,6481.93556740563,0.17444203790118176,4400.601544546629,48.04459512760961
B_summarized_ESN_states,13,titanium,24,4666.5992645056485,5779.152869468472,0.1555287295606429,3653.8563358063934,45.70168268747893
C_raw_ESN_plus_thermal,13,titanium,24,5767.5399656598165,7263.172066973786,0.19546669722558793,4995.376006080917,70.10772300034402
D_summarized_ESN_plus_thermal,13,titanium,24,5095.378755057257,6177.955356275693,0.16626131364687363,4397.618017257132,57.863718417226664
A_raw_ESN_states,14,wood,24,823.3058786780142,1580.3452442772855,0.04253029702816221,460.06177221592833,69.85908816686837
B_summarized_ESN_states,14,wood,24,406.7640541782484,567.3094639688125,0.015267448740616855,77.57942001213532,61.023467112086195
C_raw_ESN_plus_thermal,14,wood,24,1657.819292954985,3524.048580259401,0.09483929755402744,1305.1450138905634,68.16581206951575
D_summarized_ESN_plus_thermal,14,wood,24,1566.019161528068,3225.076597225769,0.0867933548794355,1225.315844034386,59.82525679704715
