spectral_radius,n_repetitions,mean_abs_unit_correlation,effective_rank,effective_rank_fraction,pca_dimensions_95pct,pca95_fraction_of_units,mean_unit_temporal_sd,mean_repetition_sd,saturation_fraction,mean_absolute_activation
0.0,6,0.9999999957137414,1.0000000414581898,0.050000002072909486,1,0.05,0.03637238515694355,1.0151665657822449e-06,0.0,0.22723637091865606
0.5,6,0.8100463288705506,1.24301836791452,0.06215091839572599,2,0.1,0.04348493225822052,1.590983006609314e-06,0.0,0.21715168863939985
0.9,6,0.690007649403365,1.2680079822071864,0.06340039911035932,2,0.1,0.0737307995785437,5.224063979136179e-06,0.0,0.25380161915345684
1.2,6,0.7884531982334254,1.250780260007739,0.06253901300038694,2,0.1,0.107235589042903,1.6946334868369233e-05,0.0,0.307295079804571
2.0,6,0.6618699046503154,1.8194578146573608,0.09097289073286804,2,0.1,0.18864665651123708,0.00015887187295170608,0.006557377049180328,0.4350681328624514
