condition,n,mae,rmse,nrmse_range,r2,median_ape_pct
A_not_baseline_centered,336,4441.609149044721,8046.209784933466,0.2165398309915641,0.4846399382106543,55.36451300955416
B_baseline_centered,336,5216.336394516426,9106.353231529049,0.24507044215987828,0.3398888914221665,65.2456439901022
C_per_trial_minmax_-1_to_0,336,5128.706169603787,8917.266080613977,0.23998172327281977,0.3670177849078704,61.156983227713724
