condition,fold,held_out_material,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
not_baseline_centered,1,aluminum,24,7536.372522944576,8293.07387962709,0.2231834446645433,-7438.094224668428,36.51567736519773
baseline_centered,1,aluminum,24,8285.674585932857,9318.183310986626,0.25077121939918967,-8225.576192170598,37.53045921337057
not_baseline_centered,2,bismuth,24,7237.285003429225,7768.833825195585,0.2090750811219756,7237.285003429225,221.23234482004807
baseline_centered,2,bismuth,24,8327.615069686277,8736.24228864034,0.23511000573534974,8327.615069686277,258.20743228457974
not_baseline_centered,3,cement,24,1035.9179297958533,1805.9961938657655,0.048603021925103164,976.9689608992794,23.029447493749284
baseline_centered,3,cement,24,1033.7907145771849,1845.4648105845138,0.0496652024824324,968.8574721331389,26.32744860045042
not_baseline_centered,4,copper,24,24269.254948733087,24778.405339144203,1.0357307057227172,-24269.254948733087,58.94181237120707
baseline_centered,4,copper,24,24350.72019599329,24537.7908334857,1.0256730838402022,-24350.72019599329,64.04597255956055
not_baseline_centered,5,cork,24,141.5905895808638,171.53793323230434,0.004616433832028472,87.6188445639221,64.43105165227396
baseline_centered,5,cork,24,125.51800696055095,152.91669223528797,0.004115298454487423,74.93142673885902,80.00476577512283
not_baseline_centered,6,graphite,24,3543.9292629833067,4351.579871204217,0.11710984364604721,431.70193026799575,31.271050330258
baseline_centered,6,graphite,24,3583.6919162828194,4645.119101717289,0.12500957992731046,1214.3378148708607,22.31852044081422
not_baseline_centered,7,gypsum,24,1203.4935911868433,2058.875375648404,0.055408513796199134,1165.175346099438,64.72549918065187
baseline_centered,7,gypsum,24,1128.9760484838162,1898.3627864134107,0.05108879434145076,1082.4775873188528,51.00951546362832
not_baseline_centered,8,iron,24,4890.359807993096,5717.3066094696605,0.15386432121863322,3636.071721538255,26.85838940021078
baseline_centered,8,iron,24,4187.773335774739,5340.905376214467,0.14373460031740645,-430.6822457469011,22.18100569675657
not_baseline_centered,9,nickel,24,5017.125645454555,6016.71947019189,0.16192212880636173,-4028.9938578421084,27.04888781697809
baseline_centered,9,nickel,24,5542.200288401113,6722.880362478617,0.18092635121116998,-4953.064607760728,25.147165024734868
not_baseline_centered,10,pdms,24,186.6281084912937,217.70878099119432,0.005858985025407522,-181.45218102551223,33.97229706837437
baseline_centered,10,pdms,24,206.91226767955604,236.85766507705887,0.006374320349052014,-202.65880479166958,50.47480999214922
not_baseline_centered,11,ps_foam,24,174.53743894600152,230.87184386238317,0.006214567842112259,174.53743894600152,448.594910392484
baseline_centered,11,ps_foam,24,97.29146398754649,148.1682139543077,0.003988366022720882,97.29146398754649,108.8179099109158
not_baseline_centered,12,pu_foam,24,204.44431399070163,541.4004991367631,0.014570185927956454,204.44431399070163,188.9384774009282
baseline_centered,12,pu_foam,24,173.7599676857022,532.210149728198,0.014322854978245135,173.7599676857022,150.6108569520376
not_baseline_centered,13,titanium,24,3794.5085510046715,4527.515624247101,0.12184463173231071,2674.6038147153567,47.10569949140269
baseline_centered,13,titanium,24,4637.785905525117,5597.583618702279,0.15064233262033475,3642.0641147370575,54.57540578071758
not_baseline_centered,14,wood,24,341.08822641013444,433.78294082252586,0.011673979078773189,-16.82601544403465,61.90107051097481
baseline_centered,14,wood,24,636.5702734911281,1184.657748669322,0.031881543675389395,272.1987420471831,62.735453159882006
