condition,n,mae,rmse,nrmse_range,r2,median_ape_pct
A_not_baseline_centered,14,4073.584109450535,7649.553686808427,0.205865010579772,0.534199178166531,54.35831435447385
B_baseline_centered,14,4572.073071744517,8126.519187264989,0.21870111995527775,0.47430095669433847,86.291174650394
C_per_trial_minmax_-1_to_0,14,4767.53344147503,8467.556593801015,0.22787912852664177,0.42925216543559663,61.99689257539133
