condition,n,mae,rmse,nrmse_range,r2,median_ape_pct,esn_predictors,thermal_predictors,total_predictors
D_summarized_ESN_plus_thermal,336,4520.978479501568,8116.52526861499,0.2184321633268455,0.475593161344007,51.38468316173454,180,27,207
B_summarized_ESN_states,336,4707.292108701708,8316.406909454048,0.22381138383967036,0.44944651304160177,51.147995024152706,180,0,180
C_raw_ESN_plus_thermal,336,4875.752709163278,8574.783748307855,0.23076482881724256,0.4147055461771668,56.80902918135708,620,27,647
A_raw_ESN_states,336,5169.386960621747,8976.30396127133,0.24157055242857722,0.35860856300339394,56.32336453499579,620,0,620
