condition,channel_set,held_out_material,n,mae,rmse,nrmse_global_range,mean_error_bias,median_ape_pct
A_not_baseline_centered,P_S_delta_dP_dS_ddP_ddS,aluminum,24,10483.101628571965,11430.814531865746,0.3076264120606186,-10483.101628571965,44.02450692200631
A_not_baseline_centered,P_delta_dP,aluminum,24,9701.422390358532,10599.515925852791,0.2852544798762707,-9701.422390358532,41.97358363788095
A_not_baseline_centered,S_delta_dS,aluminum,24,8342.69398833086,9749.567061234166,0.26238063139165635,-8288.416992138045,35.51714567890558
A_not_baseline_centered,P_dP,aluminum,24,9946.021564010332,10831.874249405439,0.2915077138157819,-9946.021564010332,38.746000534292946
A_not_baseline_centered,S_dS,aluminum,24,10775.496612499373,11358.474813034678,0.3056796034503101,-10775.496612499373,45.82919405752701
A_not_baseline_centered,delta,aluminum,24,9281.20299440725,10185.154997309297,0.27410318655499444,-9263.12972000263,41.50395328017471
A_not_baseline_centered,P,aluminum,24,9489.445210725286,9794.340640113585,0.2635855792444443,-9489.445210725286,37.70327139684556
A_not_baseline_centered,S,aluminum,24,11247.826755050372,11689.006350017324,0.31457487775568865,-11247.826755050372,47.12061792785357
A_not_baseline_centered,P_S_delta_dP_dS_ddP_ddS,bismuth,24,9524.905677620747,10622.8899674977,0.28588352276263135,9267.951737912734,343.5204262880677
A_not_baseline_centered,P_delta_dP,bismuth,24,8978.763733583204,9913.948354027629,0.2668044655087239,8731.157321273193,314.70367063885624
A_not_baseline_centered,S_delta_dS,bismuth,24,9114.645727984347,9438.633893699467,0.25401278897301727,9114.645727984347,303.4566821491291
A_not_baseline_centered,P_dP,bismuth,24,8304.570263479513,9670.901417635743,0.26026357931062044,7454.155597030028,293.9564288174346
A_not_baseline_centered,S_dS,bismuth,24,8570.31381880466,9438.700985226644,0.25401459454214165,8570.31381880466,285.6247365845849
A_not_baseline_centered,delta,bismuth,24,11494.240875011257,11911.697842241278,0.3205679576502409,11494.240875011257,362.90687936415145
A_not_baseline_centered,P,bismuth,24,6969.49875629225,8257.774806918926,0.22223347499650184,6162.699622875026,261.02742874784747
A_not_baseline_centered,S,bismuth,24,8591.44233855689,9773.801718768644,0.2630328351977864,8394.351681794296,273.0378705282879
A_not_baseline_centered,P_S_delta_dP_dS_ddP_ddS,cement,24,1918.4193371058755,3516.0738883028494,0.09462468241290659,1714.562295521133,38.76489433895045
A_not_baseline_centered,P_delta_dP,cement,24,997.8840969325355,1667.7956659388983,0.044883765311105224,800.1031195635588,35.634925717736074
A_not_baseline_centered,S_delta_dS,cement,24,1935.6383227896633,3276.347604869154,0.0881731617234796,1721.7617641338036,41.00773866052812
A_not_baseline_centered,P_dP,cement,24,1034.7749673447263,1726.3656162555492,0.046460001511968434,845.5353489235036,35.115269487185074
A_not_baseline_centered,S_dS,cement,24,1728.9326667988328,3458.421841655802,0.09307314886220976,1515.3950878032372,53.46569380419361
A_not_baseline_centered,delta,cement,24,326.5104073013146,405.51904112588875,0.010913340190767494,31.197523148357117,54.89919562470946
A_not_baseline_centered,P,cement,24,1985.1811716494321,3899.133705132566,0.1049335993083231,1863.922813658747,41.956703232184935
A_not_baseline_centered,S,cement,24,2762.9787286730693,4900.433463438124,0.131880607431499,2634.599303594727,56.429920262843815
