channel_set,condition,n,mae,rmse,nrmse_range,r2,median_ape_pct
P_S_delta_dP_dS,A_not_baseline_centered,336,4665.265905783301,8379.322805139382,0.2255045782482844,0.4410848272195842,53.090326447521086
P_S_delta_dP_dS_ddP_ddS,A_not_baseline_centered,336,4944.6621252519335,8693.113432721424,0.23394932071455532,0.3984402784276446,56.57029952736905
P_delta_dP,A_not_baseline_centered,336,4664.502162719758,8317.536047822592,0.2238417712441783,0.44929700297689446,52.299717469142436
S_delta_dS,A_not_baseline_centered,336,4884.6462129609845,8516.060749645749,0.22918447377486958,0.4226946819834525,54.492712273466125
P_dP,A_not_baseline_centered,336,4379.308708691925,7992.13803499616,0.21508465048971254,0.4915432598603877,53.065261203870385
S_dS,A_not_baseline_centered,336,5258.10393530577,9148.878494146325,0.24621488326024082,0.33370926230394493,61.751371189885205
delta,A_not_baseline_centered,336,5117.251777472445,8769.009696445628,0.23599184316413202,0.3878904475076632,64.58289344839399
P,A_not_baseline_centered,336,4649.817658548491,8192.190480235937,0.22046846769552114,0.46577016300005336,54.515083141559394
S,A_not_baseline_centered,336,5259.975839257779,8956.45740832774,0.24103644142040825,0.36144165262337213,59.23242288096384
