condition,Sample,y_true,y_pred,prediction_sd,n
A_not_baseline_centered,aluminum,23958.094665477885,14411.517076280383,4443.598220070198,24
A_not_baseline_centered,bismuth,3209.1026783199068,11563.67276763916,3916.7659315954006,24
A_not_baseline_centered,cement,559.6427431853289,1898.1469578213162,2389.130460921049,24
A_not_baseline_centered,copper,37192.601414797544,12372.054857042102,4344.316987570403,24
A_not_baseline_centered,cork,136.29380029920657,193.51192295037478,107.51769479323953,24
A_not_baseline_centered,graphite,11367.497525840945,10551.563901265463,4619.2582717582945,24
A_not_baseline_centered,gypsum,385.01948002666046,2030.4371483061047,3067.001134618101,24
A_not_baseline_centered,iron,16859.663413010356,18588.810384114582,4741.539252870127,24
A_not_baseline_centered,nickel,19320.68449098013,16057.183024088541,4990.482272489442,24
A_not_baseline_centered,pdms,460.90129095067635,326.4764002164205,168.53451553586368,24
A_not_baseline_centered,ps_foam,34.496376621320685,186.37648735902334,177.44150224903407,24
A_not_baseline_centered,pu_foam,42.49705872175155,211.18759542041354,286.93962723422743,24
A_not_baseline_centered,titanium,7184.035926970299,12012.61717054579,5679.732537513122,24
A_not_baseline_centered,wood,422.49260348555214,597.6770496368408,819.4507494111136,24
B_baseline_centered,aluminum,23958.094665477885,12767.457260131836,5654.312374931018,24
B_baseline_centered,bismuth,3209.1026783199068,11936.314028845894,5560.394174251275,24
B_baseline_centered,cement,559.6427431853289,1795.0326228671602,1921.8896944271278,24
B_baseline_centered,copper,37192.601414797544,11585.090067545572,4027.4716200056982,24
B_baseline_centered,cork,136.29380029920657,277.6730761609088,186.9770674251285,24
B_baseline_centered,graphite,11367.497525840945,11541.478247748482,3470.28403603911,24
B_baseline_centered,gypsum,385.01948002666046,2280.0475290086533,2628.296776375216,24
B_baseline_centered,iron,16859.663413010356,13870.334259033203,6060.4183782056025,24
B_baseline_centered,nickel,19320.68449098013,13195.438602023654,4783.226559166885,24
B_baseline_centered,pdms,460.90129095067635,461.6211200290256,420.752217755593,24
B_baseline_centered,ps_foam,34.496376621320685,152.5999182595147,76.58898914191487,24
B_baseline_centered,pu_foam,42.49705872175155,258.789455042945,489.25094301623545,24
B_baseline_centered,titanium,7184.035926970299,9724.967748853896,5089.419725916093,24
B_baseline_centered,wood,422.49260348555214,3469.754946496752,6187.410086049716,24
C_per_trial_minmax_-1_to_0,aluminum,23958.094665477885,13426.6355082194,5669.909528726327,24
C_per_trial_minmax_-1_to_0,bismuth,3209.1026783199068,13966.452022340563,5394.642538995636,24
C_per_trial_minmax_-1_to_0,cement,559.6427431853289,329.3697571224637,75.1303655943894,24
C_per_trial_minmax_-1_to_0,copper,37192.601414797544,11053.321807861328,3924.04068857478,24
C_per_trial_minmax_-1_to_0,cork,136.29380029920657,309.83790224425206,187.01753781386714,24
C_per_trial_minmax_-1_to_0,graphite,11367.497525840945,12319.012423197428,5874.451966966756,24
C_per_trial_minmax_-1_to_0,gypsum,385.01948002666046,493.7920509974162,249.55573703799834,24
C_per_trial_minmax_-1_to_0,iron,16859.663413010356,12977.850579155815,4904.433063211113,24
C_per_trial_minmax_-1_to_0,nickel,19320.68449098013,12935.092664930555,3699.1160534049523,24
C_per_trial_minmax_-1_to_0,pdms,460.90129095067635,213.33771903281948,137.75769895403417,24
C_per_trial_minmax_-1_to_0,ps_foam,34.496376621320685,171.4767059199839,92.14488083213377,24
C_per_trial_minmax_-1_to_0,pu_foam,42.49705872175155,391.21600051207116,291.48231109151413,24
C_per_trial_minmax_-1_to_0,titanium,7184.035926970299,13196.233054267037,4551.855293811455,24
C_per_trial_minmax_-1_to_0,wood,422.49260348555214,1262.9034893777637,1271.3282848928948,24
