input_magnitude,input_weight_scaling_factor,mean_state_step_magnitude,mean_lag1_state_correlation,mean_max_abs_input_state_correlation,mean_absolute_activation
0.0,0.0,0.0,,,0.0
0.25,0.25,0.0015179362922663807,0.9945457089272682,0.8261455568248713,0.06532181341729429
1.0,1.0,0.005393036322489066,0.9947889436144906,0.8212066388421186,0.243496312408369
1.64,1.64,0.00754715438290304,0.9958764218153708,0.8415295506373243,0.3637544809068097
3.0,3.0,0.009956663475395174,0.9945723400863132,0.8181975728751896,0.5407556490165636
5.0,5.0,0.01123129358557377,0.9964995600603027,0.8374287839600912,0.6761673441113366
