condition,Sample,y_true,y_pred,prediction_sd,n
A_not_baseline_centered,aluminum,23958.094665477885,14482.109230889217,4535.80001390901,24
A_not_baseline_centered,bismuth,3209.1026783199068,11327.388648562961,5756.7479139341685,24
A_not_baseline_centered,cement,559.6427431853289,1643.2307662963867,2082.88372905835,24
A_not_baseline_centered,copper,37192.601414797544,13166.145931667752,3614.055899690911,24
A_not_baseline_centered,cork,136.29380029920657,194.5304482329167,131.26137789684475,24
A_not_baseline_centered,graphite,11367.497525840945,10901.440836588541,5009.029766962641,24
A_not_baseline_centered,gypsum,385.01948002666046,1212.7960448794895,1145.9602668332068,24
A_not_baseline_centered,iron,16859.663413010356,17514.240017361113,4583.50452524774,24
A_not_baseline_centered,nickel,19320.68449098013,17835.237494574652,4146.71455255553,24
A_not_baseline_centered,pdms,460.90129095067635,254.28754011789957,93.13110316686631,24
A_not_baseline_centered,ps_foam,34.496376621320685,124.58071941799587,105.281231061146,24
A_not_baseline_centered,pu_foam,42.49705872175155,247.56093115276758,285.41181958574924,24
A_not_baseline_centered,titanium,7184.035926970299,10850.12663523356,4897.9639692256715,24
A_not_baseline_centered,wood,422.49260348555214,907.0444650650024,1353.9707368473294,24
B_baseline_centered,aluminum,23958.094665477885,12001.016053941516,5329.955376228539,24
B_baseline_centered,bismuth,3209.1026783199068,12945.612580193412,6465.328692202704,24
B_baseline_centered,cement,559.6427431853289,920.4214242299398,981.6591388326108,24
B_baseline_centered,copper,37192.601414797544,11408.783959282768,3511.391336678737,24
B_baseline_centered,cork,136.29380029920657,238.52583021587796,166.38174152306442,24
B_baseline_centered,graphite,11367.497525840945,9548.381781684027,4603.421920725505,24
B_baseline_centered,gypsum,385.01948002666046,1318.2707656224568,1435.5902196789425,24
B_baseline_centered,iron,16859.663413010356,14462.462392171225,5338.1228499104955,24
B_baseline_centered,nickel,19320.68449098013,14289.41041056315,4368.32280280792,24
B_baseline_centered,pdms,460.90129095067635,244.56049670924185,111.12325883050721,24
B_baseline_centered,ps_foam,34.496376621320685,158.15138583305728,56.13717164490793,24
B_baseline_centered,pu_foam,42.49705872175155,469.64037715064154,1499.0692278721642,24
B_baseline_centered,titanium,7184.035926970299,11368.865044487846,5115.107341791866,24
B_baseline_centered,wood,422.49260348555214,2853.3673409966905,5021.417638110399,24
C_per_trial_minmax_-1_to_0,aluminum,23958.094665477885,14743.377821180555,5235.614387231301,24
C_per_trial_minmax_-1_to_0,bismuth,3209.1026783199068,12150.868619283041,5818.228921086775,24
C_per_trial_minmax_-1_to_0,cement,559.6427431853289,374.2043535444472,104.89822933926695,24
C_per_trial_minmax_-1_to_0,copper,37192.601414797544,12006.02834828626,4423.121249550404,24
C_per_trial_minmax_-1_to_0,cork,136.29380029920657,298.59900412591503,296.7879190221695,24
C_per_trial_minmax_-1_to_0,graphite,11367.497525840945,15026.289530648124,7345.559746423574,24
C_per_trial_minmax_-1_to_0,gypsum,385.01948002666046,469.7541232638889,301.14053562789127,24
C_per_trial_minmax_-1_to_0,iron,16859.663413010356,13536.429843478732,4451.709708254886,24
C_per_trial_minmax_-1_to_0,nickel,19320.68449098013,14003.103410508898,5974.812746855535,24
C_per_trial_minmax_-1_to_0,pdms,460.90129095067635,634.0205483966403,1158.3184041474715,24
C_per_trial_minmax_-1_to_0,ps_foam,34.496376621320685,141.135466893514,53.56397981796104,24
C_per_trial_minmax_-1_to_0,pu_foam,42.49705872175155,576.8339722421434,608.8596550805634,24
C_per_trial_minmax_-1_to_0,titanium,7184.035926970299,13634.441073947482,6044.150327988012,24
C_per_trial_minmax_-1_to_0,wood,422.49260348555214,306.10314872529773,301.31622466006564,24
