input_magnitude,n,mae,rmse,nrmse_range,r2,median_ape_pct,fold_nrmse_sd,evaluation_seconds,reservoir_units,esn_predictors,thermal_predictors,total_predictors,outer_training_trials,predictor_to_training_trial_ratio,feature_generation_seconds,J_exploratory
0.0,336,4700.454774883705,8315.230701065439,0.22377972968541784,0.44960223409841094,53.41605631245545,0.26000701483379063,8.89675200000056,20,180,27,207,312,0.6634615384615384,4.270552957998007,0.3048202077589558
0.05,336,4572.2439998010495,8269.139237085736,0.2225393148706056,0.455687051300659,54.104831636855266,0.2683451879808531,12.857867208000243,20,180,27,207,312,0.6634615384615384,1.5732064170006197,0.303805128538625
0.1,336,4611.290363987239,8258.578057745375,0.22225509210602948,0.4570765346589115,54.75766015712893,0.2668736034928604,12.795949457999086,20,180,27,207,312,0.6634615384615384,1.2088805000021239,0.30323479898942435
0.25,336,4574.827361245504,8245.661002267647,0.22190746793454771,0.4587735551525082,55.3625711935759,0.26713989678860994,11.205270624999685,20,180,27,207,312,0.6634615384615384,1.2171358749983483,0.3027441020981579
0.5,336,4615.406279784946,8267.446490634062,0.22249375962902548,0.45590987727552146,57.01132811407527,0.26656999162571193,13.986467417002132,20,180,27,207,312,0.6634615384615384,1.0609150829986902,0.3035597710640445
1.0,336,4416.271925189201,7991.006893053457,0.21505420916495874,0.4916871753038461,54.42283525724855,0.25908306033152173,12.512633209000342,20,180,27,207,312,0.6634615384615384,1.0165246249998745,0.29179379766772634
1.5,336,4477.215079026355,8045.4782073943725,0.2165201427556236,0.4847336490921388,52.31878921536352,0.26080419169977387,12.666364041000634,20,180,27,207,312,0.6634615384615384,1.0165287079980772,0.2941271970163871
1.64,336,4456.575846790591,8055.851507239043,0.21679930930176508,0.4834040927947656,51.90007152085694,0.260891968958101,12.449369416997797,20,180,27,207,312,0.6634615384615384,1.0157990000006976,0.2945480969180986
2.0,336,4513.448155358988,8104.756334231821,0.21811543742354453,0.47711283509378843,52.948117337708055,0.26161156009570474,12.991708499997912,20,180,27,207,312,0.6634615384615384,1.0067962079992867,0.29656530992373614
3.0,336,4543.321464092187,8232.548491080239,0.2215545836533408,0.46049353733536635,52.03362113531893,0.267336324131214,12.595605000002251,20,180,27,207,312,0.6634615384615384,1.1018397090010694,0.3022388623329256
5.0,336,4580.318185982429,8251.714828931154,0.2220703886932163,0.45797854457556564,54.17684484894634,0.2646527844441387,11.710591457998817,20,180,27,207,312,0.6634615384615384,1.0134445000003325,0.3027378126800736
