condition,n,mae,rmse,nrmse_range,r2,median_ape_pct
not_baseline_centered,336,4255.466852924587,7835.516092353362,0.21086963622884308,0.5112764460749857,49.47684241390292
baseline_centered,336,4451.305717175836,8020.882277454848,0.21585821637605568,0.4878792875871042,56.12096302372074
