res_size,n,mae,rmse,nrmse_range,r2,median_ape_pct,fold_nrmse_sd,evaluation_seconds,esn_predictors,thermal_predictors,total_predictors,outer_training_trials,predictor_to_training_trial_ratio,feature_generation_seconds,J_exploratory
5,336,4638.746222770343,8225.410107625648,0.2213624752708693,0.46142873603727097,54.58071997141154,0.2643445369360801,8.737231165985577,45,27,72,312,0.23076923076923078,0.9479902500170283,0.30165405536075024
10,336,4678.097651866976,8291.695480933751,0.22314634915894838,0.4527134888755392,53.502497381070114,0.26689096061976375,10.031050124991452,90,27,117,312,0.375,0.9767827909963671,0.30456409633337084
20,336,4520.978479501568,8116.52526861499,0.2184321633268455,0.475593161344007,51.38468316173454,0.2639391000537903,13.468205582990777,180,27,207,312,0.6634615384615384,1.4153698749723844,0.29726675719782386
30,336,4698.316434052868,8396.503900970798,0.22596695639737904,0.4387904604289423,53.137197561015284,0.2721343638828589,17.067160417005653,270,27,297,312,0.9519230769230769,1.5296118340047542,0.3093013467427707
50,336,4768.865424544203,8407.967394306952,0.22627546226236803,0.43725700946618506,54.12391268468675,0.2687525488302151,23.987293165992014,450,27,477,312,1.5288461538461537,2.3137728750007227,0.309425016198771
75,336,4762.774620282629,8338.257953625365,0.2243994397738701,0.44654959539447836,54.355302765273485,0.26358368718747216,33.75132800001302,675,27,702,312,2.25,2.969764084002236,0.30610284895316947
100,336,4777.773075748342,8361.695192843843,0.2250301834351628,0.4434339375233094,55.72466570493532,0.2645083094100554,43.28888870798983,900,27,927,312,2.9711538461538463,3.873758582980372,0.30713762062383737
