condition,Sample,y_true,y_pred,prediction_sd,n
A_not_baseline_centered,aluminum,23958.094665477885,16739.95379299588,3900.8105657720357,24
A_not_baseline_centered,bismuth,3209.1026783199068,10373.539427015518,3486.841067910508,24
A_not_baseline_centered,cement,559.6427431853289,2004.445036782159,2238.9329232189857,24
A_not_baseline_centered,copper,37192.601414797544,12890.29244656033,5085.66175051141,24
A_not_baseline_centered,cork,136.29380029920657,225.20401626163058,149.0070600480965,24
A_not_baseline_centered,graphite,11367.497525840945,11320.641370985242,4596.696651003364,24
A_not_baseline_centered,gypsum,385.01948002666046,1791.792163848877,2198.6528651454396,24
A_not_baseline_centered,iron,16859.663413010356,19974.589735243055,4849.572729301472,24
A_not_baseline_centered,nickel,19320.68449098013,15049.719177246094,4849.671861344894,24
A_not_baseline_centered,pdms,460.90129095067635,309.6334332889981,149.17759364296938,24
A_not_baseline_centered,ps_foam,34.496376621320685,220.9459489573841,163.03693418495735,24
A_not_baseline_centered,pu_foam,42.49705872175155,263.9688858985901,402.6515550996888,24
A_not_baseline_centered,titanium,7184.035926970299,10556.087222629123,3476.224165663974,24
A_not_baseline_centered,wood,422.49260348555214,477.3531584209866,531.3001816483347,24
B_baseline_centered,aluminum,23958.094665477885,16184.67281426324,5100.393962619754,24
B_baseline_centered,bismuth,3209.1026783199068,11031.14848836263,3818.507352633381,24
B_baseline_centered,cement,559.6427431853289,2451.8661321004233,3136.217212462631,24
B_baseline_centered,copper,37192.601414797544,11953.450853135852,3002.483690851358,24
B_baseline_centered,cork,136.29380029920657,244.32081504149014,171.93073221558444,24
B_baseline_centered,graphite,11367.497525840945,11252.937530517578,3776.6385635972442,24
B_baseline_centered,gypsum,385.01948002666046,2277.6944633060034,3237.5953847573865,24
B_baseline_centered,iron,16859.663413010356,15378.114518907336,6360.654801942918,24
B_baseline_centered,nickel,19320.68449098013,13762.626900566947,4764.087772896651,24
B_baseline_centered,pdms,460.90129095067635,341.8712991608514,195.2568065876941,24
B_baseline_centered,ps_foam,34.496376621320685,194.61565913094412,157.8889666489965,24
B_baseline_centered,pu_foam,42.49705872175155,159.10063107808432,85.92300742425303,24
B_baseline_centered,titanium,7184.035926970299,10348.900537278916,5111.59077497924,24
B_baseline_centered,wood,422.49260348555214,3100.147076235877,6243.795685006973,24
C_per_trial_minmax_-1_to_0,aluminum,23958.094665477885,12590.441967434354,5147.01352971718,24
C_per_trial_minmax_-1_to_0,bismuth,3209.1026783199068,12906.211009555393,4938.091759353037,24
C_per_trial_minmax_-1_to_0,cement,559.6427431853289,325.57801246643066,48.17447314741841,24
C_per_trial_minmax_-1_to_0,copper,37192.601414797544,11353.697180853951,4024.5387497505303,24
C_per_trial_minmax_-1_to_0,cork,136.29380029920657,327.5726982709099,231.6068130775912,24
C_per_trial_minmax_-1_to_0,graphite,11367.497525840945,13125.908509996203,6301.862449257168,24
C_per_trial_minmax_-1_to_0,gypsum,385.01948002666046,708.8757912317911,847.6954469336157,24
C_per_trial_minmax_-1_to_0,iron,16859.663413010356,12924.910902235242,4195.931602104944,24
C_per_trial_minmax_-1_to_0,nickel,19320.68449098013,12976.74892510308,4885.807194791494,24
C_per_trial_minmax_-1_to_0,pdms,460.90129095067635,226.5479681837834,201.56047637070435,24
C_per_trial_minmax_-1_to_0,ps_foam,34.496376621320685,168.1291078461541,94.8084945202459,24
C_per_trial_minmax_-1_to_0,pu_foam,42.49705872175155,513.3635300000509,550.7389335217301,24
C_per_trial_minmax_-1_to_0,titanium,7184.035926970299,13242.626040988498,4844.654425787445,24
C_per_trial_minmax_-1_to_0,wood,422.49260348555214,1432.163669851091,1347.8601818733598,24
