condition,n,mae,rmse,nrmse_range,r2,median_ape_pct
A_not_baseline_centered,336,4665.265905783301,8379.322805139382,0.2255045782482844,0.4410848272195842,53.090326447521086
B_baseline_centered,336,5216.2926350213975,9028.340775717927,0.24297096868751009,0.351150546925857,64.72932017411834
C_per_trial_minmax_-1_to_0,336,5231.336600939809,9134.295229387277,0.2458224180162768,0.335831697323819,64.52557865092632
