input_magnitude,n_repetitions,mean_abs_unit_correlation,effective_rank,effective_rank_fraction,pca_dimensions_95pct,pca95_fraction_of_units,mean_unit_temporal_sd,mean_repetition_sd,saturation_fraction,mean_absolute_activation
0.0,6,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0.25,6,0.7003049304754124,1.737469312166591,0.08687346560832955,2,0.1,0.01996060023639482,3.292422764345214e-06,0.0,0.06532181341729429
1.0,6,0.7206740355359473,1.6761980948967776,0.08380990474483888,2,0.1,0.07175992672540586,8.534617351230246e-06,0.0,0.243496312408369
1.64,6,0.7422528906980675,1.603709582455058,0.0801854791227529,2,0.1,0.10118093718824173,7.696171187668125e-06,0.0,0.3637544809068097
3.0,6,0.7195808061048061,1.5342079418098982,0.0767103970904949,2,0.1,0.132298397883095,8.62615345715289e-06,0.022131147540983605,0.5407556490165636
5.0,6,0.8315298004620089,1.4925940390685255,0.07462970195342628,2,0.1,0.14802483178895812,7.573430505494417e-06,0.21639344262295082,0.6761673441113366
