res_size,esn_predictors,thermal_predictors,total_predictors,outer_training_trials,predictor_to_training_trial_ratio,feature_generation_seconds
5,45,27,72,312,0.23076923076923078,1.2346238340105629
10,90,27,117,312,0.375,1.7499637090077158
20,180,27,207,312,0.6634615384615384,2.353252415996394
30,270,27,297,312,0.9519230769230769,1.7092592080007307
50,450,27,477,312,1.5288461538461537,2.4675842080032453
75,675,27,702,312,2.25,3.1704855830030283
100,900,27,927,312,2.9711538461538463,3.98117437500332
