res_size,n_repetitions,mean_abs_unit_correlation,effective_rank,effective_rank_fraction,pca_dimensions_95pct,pca95_fraction_of_units,mean_unit_temporal_sd,mean_repetition_sd,saturation_fraction,mean_absolute_activation
5,6,0.7464452422130234,1.4478322961249066,0.2895664592249813,2,0.4,0.12505478825379518,1.4609783329970243e-05,0.0,0.28817990948068917
20,6,0.690007649403365,1.2680079822071864,0.06340039911035932,2,0.1,0.0737307995785437,5.224063979136179e-06,0.0,0.25380161915345684
50,6,0.6696965973798491,1.5980656014994417,0.031961312029988836,2,0.04,0.07248080037205616,1.7776185830563676e-05,0.0,0.2467692189717587
100,6,0.7181435305724386,1.3452087705065467,0.02205260279518929,2,0.02,0.0698176413228393,8.925243842374501e-06,0.0,0.26501309685086016
