condition,n,mae,rmse,nrmse_range,r2,median_ape_pct
A_not_baseline_centered,14,3632.05806784078,7326.343358263494,0.19716676484811083,0.5727298101950775,57.81558413748481
B_baseline_centered,14,4678.86441341468,8287.788490657755,0.22304120412337722,0.45322912269718585,66.89550806649484
C_per_trial_minmax_-1_to_0,14,4532.573614733041,7990.856372166897,0.21505015834249605,0.49170632457438224,38.0114183917003
