spectral_radius,n,mae,rmse,nrmse_range,r2,median_ape_pct,fold_nrmse_sd,evaluation_seconds,reservoir_units,esn_predictors,thermal_predictors,total_predictors,outer_training_trials,predictor_to_training_trial_ratio,feature_generation_seconds,J_exploratory
0.0,336,4642.025240051524,8254.931634117536,0.22215695944764735,0.4575558646069462,56.53748664218594,0.2670769194854146,13.895317000002251,20,180,27,207,312,0.6634615384615384,1.3478176659991732,0.30310906493549417
0.1,336,4629.489352882441,8289.789637292137,0.2230950590396149,0.45296504723251607,53.84925063593342,0.2689575214048661,11.588216042000568,20,180,27,207,312,0.6634615384615384,2.0417448340012925,0.3046943064568499
0.3,336,4638.248864970835,8231.472233232926,0.22152561937095322,0.46063458967416393,54.76358957473837,0.26540318359774134,11.714658290999068,20,180,27,207,312,0.6634615384615384,1.5656081670022104,0.302002478763311
0.5,336,4687.826494039667,8257.504651357285,0.2222262045621952,0.4572176581401439,53.23960415564086,0.2657541292821879,11.67714212500141,20,180,27,207,312,0.6634615384615384,1.2417225419994793,0.3030798516763996
0.7,336,4608.09243777857,8231.175337457611,0.22151762930324095,0.4606734970334382,53.07652432259865,0.266715830760107,12.056607124999573,20,180,27,207,312,0.6634615384615384,1.1608073750030599,0.30212186267590785
0.9,336,4520.978479501568,8116.52526861499,0.2184321633268455,0.475593161344007,51.38468316173454,0.2639391000537903,11.775165375001961,20,180,27,207,312,0.6634615384615384,1.1366196669987403,0.29726675719782386
1.0,336,4604.002860613019,8172.927364763728,0.2199500581734958,0.46827958511780654,51.26258170950753,0.2647313304517354,12.267537457999424,20,180,27,207,312,0.6634615384615384,1.126648750003369,0.2995952327068887
1.2,336,4631.227940884865,8208.241143026957,0.2209004235978614,0.46367471781251246,53.812146011671445,0.2651972113907414,11.610631541996554,20,180,27,207,312,0.6634615384615384,1.1461050829966553,0.30105267295568433
1.5,336,4701.114881756545,8327.522435357763,0.22411052519502997,0.44797381423437455,53.28009458763812,0.26820988632956144,12.640638666998711,20,180,27,207,312,0.6634615384615384,1.134875292002107,0.3061341324045486
2.0,336,4696.078663809072,8360.989386286828,0.2250111887486391,0.44352789249010505,53.67437874540239,0.269952838345248,12.054199458005314,20,180,27,207,312,0.6634615384615384,1.1254295830003684,0.3076536833341534
