sensor,current_column,slope_c_per_a,intercept_c,r2_in_sample,mae_c_loocv,rmse_c_loocv,calibration_min_c,calibration_max_c
Primary,primary_a,-109928.59030918925,98.45313142780581,0.022555734667460192,0.5757234864866524,0.6224389477394243,24.8,27.0
Secondary,secondary_a,-151716.5287873703,132.00409243543376,0.046960139496623365,0.5596832207036647,0.6157512759718378,24.8,27.0
