Sample,Temperature,primary_minimum_mean,primary_minimum_sd,primary_minimum_across_trials,primary_centered_minimum_mean,primary_near_min_fraction_mean,primary_longest_near_min_fraction_mean,secondary_minimum_mean,secondary_minimum_sd,secondary_minimum_across_trials,secondary_centered_minimum_mean,secondary_near_min_fraction_mean,secondary_longest_near_min_fraction_mean
aluminum,40C,0.00064934,2.7828043409478157e-07,0.00064902,-9.469999999999994e-06,0.1123124172213867,0.1038582185801797,0.00069025,4.638534251247834e-07,0.00068948,-7.536666666666703e-06,0.044411873135961594,0.044411873135961594
bismuth,40C,0.0006502766666666666,2.587405392795411e-07,0.00065004,-9.196666666666675e-06,0.08668375670345456,0.08529486781456568,0.0006910366666666667,4.915960401250568e-07,0.00069032,-7.453333333333341e-06,0.04477755639564877,0.04477755639564877
copper,40C,0.0006496433333333334,3.1860110901668184e-07,0.00064932,-9.116666666666699e-06,0.11757645590984626,0.114702679123026,0.0006905533333333333,8.980571622489602e-07,0.00068944,-7.123333333333331e-06,0.044228355915917915,0.044228355915917915
graphite,30C,0.0006555833333333334,4.273952113286175e-08,0.00065554,-3.3866666666666477e-06,0.07985729761688841,0.05989228417872919,0.0006967366666666666,7.201851613762689e-08,0.00069664,-2.990000000000024e-06,0.038291242536766835,0.03678974103526533
graphite,50C,0.0006430433333333333,3.547205472856665e-07,0.00064262,-1.6696666666666676e-05,0.09881414225169381,0.09738964082719238,0.0006862133333333333,5.751753355861942e-07,0.00068544,-1.278333333333331e-05,0.04054004331598788,0.04054004331598788
graphite,60C,0.0006352766666666667,1.6800793632049968e-07,0.00063508,-2.3246666666666665e-05,0.1011938415051078,0.0998049526162189,0.0006804366666666667,4.456755172394697e-07,0.00067994,-1.840999999999999e-05,0.04717023587095098,0.04717023587095098
iron,40C,0.0006491033333333333,2.2393451423728681e-07,0.00064882,-9.726666666666671e-06,0.12006125151749254,0.12006125151749254,0.0006899266666666666,6.953176732017199e-07,0.00068914,-7.853333333333369e-06,0.04194738454064136,0.04194738454064136
nickel,40C,0.0006493,1.95550504985337e-07,0.00064908,-1.0010000000000002e-05,0.11724675383698314,0.11583432445845208,0.0006901833333333333,6.362913378843488e-07,0.00068944,-8.126666666666651e-06,0.045198754570638926,0.045198754570638926
titanium,40C,0.00064964,2.0630075133163218e-07,0.00064934,-9.406666666666674e-06,0.10913089037029206,0.10775347990197248,0.0006905100000000001,7.795126682742178e-07,0.00068974,-7.516666666666659e-06,0.04197486497057316,0.04061985142043766
