trial_id,Temperature,Sample,Trial,n_samples,start_time,end_time,primary_minimum,primary_minimum_time,primary_baseline,primary_centered_minimum,primary_q01,primary_q05,primary_near_min_tolerance,primary_near_min_fraction,primary_longest_near_min_run,primary_longest_near_min_fraction,secondary_minimum,secondary_minimum_time,secondary_baseline,secondary_centered_minimum,secondary_q01,secondary_q05,secondary_near_min_tolerance,secondary_near_min_fraction,secondary_longest_near_min_run,secondary_longest_near_min_fraction
30C__graphite_trial_1,30C,graphite,1,111,8.600700000000002,19.600700000000003,0.00065554,10.799999999999999,0.00065892,-3.3799999999999846e-06,0.0006555420000000001,0.00065556,4.0400000000000765e-08,0.10810810810810811,7,0.06306306306306306,0.00069684,10.899959999999998,0.00069978,-2.9399999999999956e-06,0.000696862,0.00069692,5.4600000000001005e-08,0.02702702702702703,2,0.018018018018018018
30C__graphite_trial_2,30C,graphite,2,115,7.50066,18.9007,0.00065564,11.3,0.00065902,-3.3799999999999846e-06,0.00065566,0.000655694,4.064000000000021e-08,0.05217391304347826,5,0.043478260869565216,0.00069678,11.3,0.00069974,-2.9599999999999852e-06,0.0006967856,0.00069686,5.4799999999999816e-08,0.043478260869565216,5,0.043478260869565216
30C__graphite_trial_3,30C,graphite,3,119,7.9007,19.7007,0.00065562,11.499959999999998,0.00065902,-3.3999999999999742e-06,0.00065562,0.0006556579999999999,4.16800000000014e-08,0.07563025210084033,7,0.058823529411764705,0.00069668,11.8,0.00069972,-3.040000000000052e-06,0.0006967,0.0006967379999999999,5.6480000000002416e-08,0.05042016806722689,6,0.05042016806722689
30C__graphite_trial_4,30C,graphite,4,117,7.60066,19.200660000000003,0.0006556,11.500039999999998,0.00065892,-3.3200000000000156e-06,0.0006556032,0.000655656,3.8399999999999636e-08,0.03418803418803419,3,0.02564102564102564,0.00069676,11.500039999999998,0.00069972,-2.9599999999999852e-06,0.0006967632,0.00069684,5.55999999999994e-08,0.042735042735042736,5,0.042735042735042736
30C__graphite_trial_5,30C,graphite,5,115,8.00066,19.40066,0.00065554,11.100000000000001,0.000659,-3.459999999999943e-06,0.00065554,0.00065556,4.1439999999999794e-08,0.11304347826086956,12,0.10434782608695652,0.00069672,11.399999999999999,0.0006997,-2.9800000000000833e-06,0.0006967427999999999,0.000696814,5.531999999999933e-08,0.02608695652173913,3,0.02608695652173913
30C__graphite_trial_6,30C,graphite,6,125,8.30066,20.700660000000003,0.00065556,11.800040000000003,0.00065894,-3.3799999999999846e-06,0.00065556,0.00065558,3.8399999999999636e-08,0.096,8,0.064,0.00069664,12.200039999999998,0.0006997,-3.060000000000042e-06,0.00069664,0.0006967,5.7600000000000536e-08,0.04,5,0.04
40C__aluminum_trial_1,40C,aluminum,1,119,8.600660000000001,20.40066,0.00064968,11.799999999999997,0.00065908,-9.400000000000012e-06,0.0006497,0.00064972,9.628000000000024e-08,0.10084033613445378,11,0.09243697478991597,0.00069002,11.799999999999997,0.00069738,-7.360000000000092e-06,0.0006900636000000001,0.0006901979999999999,1.404800000000023e-07,0.04201680672268908,5,0.04201680672268908
40C__aluminum_trial_2,40C,aluminum,2,117,9.2007,20.80066,0.00064952,11.299999999999999,0.00065736,-7.839999999999952e-06,0.00064952,0.00064956,9.031999999999963e-08,0.1282051282051282,14,0.11965811965811966,0.00068948,11.599960000000001,0.00069556,-6.079999999999996e-06,0.0006895032,0.000689596,1.1567999999999995e-07,0.05128205128205128,6,0.05128205128205128
40C__aluminum_trial_3,40C,aluminum,3,116,10.5007,22.00071,0.00064956,11.4,0.00065778,-8.219999999999972e-06,0.00064958,0.000649595,7.869999999999882e-08,0.07758620689655173,7,0.0603448275862069,0.00069016,11.500010000000001,0.000696,-5.840000000000012e-06,0.000690203,0.0006903300000000001,1.1219999999999936e-07,0.034482758620689655,4,0.034482758620689655
40C__aluminum_trial_4,40C,aluminum,4,119,10.5007,22.30066,0.00064912,11.699960000000003,0.00065958,-1.0460000000000005e-05,0.0006491236,0.0006491779999999999,1.1508000000000135e-07,0.12605042016806722,14,0.11764705882352941,0.00069074,11.699960000000003,0.00069926,-8.520000000000034e-06,0.0006907544,0.0006909160000000001,1.6292e-07,0.05042016806722689,6,0.05042016806722689
