DATE,Material,k,Mass,Volume,rho,cp,Trial,RH_percent,Material_T0_C,Sensor_T0_C,Run_no,Timestamp,Valid
2026/07/27,Al,,,,,,1,48,30.3,25.4,73,20644,TRUE
2026/07/27,Al,,,,,,2,48,30.4,25.4,74,20838,TRUE
2026/07/27,Al,,,,,,3,48,30.4,25.2,75,20930,TRUE
2026/07/27,Al,,,,,,4,48,30.4,25.3,76,21019,TRUE
2026/07/27,Al,,,,,,5,48,30.3,25.1,77,21127,TRUE
2026/07/27,Al,,,,,,6,48,30.3,25.3,78,21240,TRUE
2026/07/27,Cu,,,,,,1,48,30.3,25.3,79,21429,TRUE
2026/07/27,Cu,,,,,,2,48,30.4,25.3,80,21524,TRUE
2026/07/27,Cu,,,,,,3,48,30.4,25.6,81,21619,TRUE
2026/07/27,Cu,,,,,,4,48,30.3,25.2,82,21715,TRUE
2026/07/27,Cu,,,,,,5,47,30.4,25.1,83,21812,TRUE
2026/07/27,Cu,,,,,,6,47,30.3,25.1,84,21905,TRUE
