DATE,RH_percent,Run_no,Material,k,Mass,Volume,rho,cp,Trial,Material_T0_C,Sensor_T0_C,Timestamp,Valid
2026/07/07,47,1,PS foam,0.034,1,1,30,1400,1,40.7,25,12:18:08,TRUE
2026/07/07,48,2,PS foam,0.034,1,1,30,1400,2,40.7,24.9,12:21:34,TRUE
2026/07/07,49,3,PS foam,0.034,1,1,30,1400,3,40.4,24.9,12:23:28,FALSE
2026/07/07,50,4,PS foam,0.034,1,1,30,1400,3,40.3,25,12:25:00,TRUE
2026/07/07,50,5,PU foam,0.043,1,1,30,1400,1,40,25.1,12:35:50,TRUE
2026/07/07,49,6,PU foam,0.043,1,1,30,1400,2,40,25.3,12:40:18,TRUE
2026/07/07,49,7,PU foam,0.043,1,1,30,1400,3,40.1,25.2,12:41:44,TRUE
2026/07/07,50,8,wood,0.1,1,1,650,1700,1,40,25.3,12:44:16,TRUE
2026/07/07,50,9,wood,0.1,1,1,650,1700,2,40.1,25.3,12:45:47,TRUE
2026/07/07,51,10,wood,0.1,1,1,650,1700,3,40,25.2,12:47:08,TRUE
2026/07/07,51,11,cork fine,0.043,1,1,2000,2000,1,39.9,24.8,12:55:08,TRUE
2026/07/07,51,12,cork fine,0.043,1,1,2000,2000,2,39.9,25,12:56:47,TRUE
2026/07/07,52,13,cork fine,0.043,1,1,2000,2000,3,39.8,24.8,13:06:16,TRUE
2026/07/07,52,14,PDMS,0.15,1,1,965,1460,1,39.9,25.1,13:09:13,TRUE
2026/07/07,52,15,PDMS,0.15,1,1,965,1460,2,39.9,25.1,13:10:39,TRUE
2026/07/07,52,16,PDMS,0.15,1,1,965,1460,3,39.9,25.2,13:12:27,TRUE
2026/07/07,52,17,gypsum,0.17,1,1,2300,1090,1,40.4,25.5,13:19:08,TRUE
2026/07/07,51,18,gypsum,0.17,1,1,2300,1090,2,40.3,25.4,13:20:57,TRUE
2026/07/07,50,19,gypsum,0.17,1,1,2300,1090,3,40.2,25.4,13:22:31,TRUE
2026/07/07,51,20,cement,1.73,1,1,2700,880,1,40.1,25.4,13:24:48,TRUE
2026/07/07,52,21,cement,1.73,1,1,2700,880,2,40.2,25.2,13:26:32,TRUE
2026/07/07,52,22,cement,1.73,1,1,2700,880,3,40.1,25.4,13:28:35,TRUE
2026/07/07,50,23,carbon,8.5,1,1,2300,717,1,40.4,25.3,13:35:54,TRUE
2026/07/07,50,24,carbon,8.5,1,1,2300,717,2,40.3,25.4,13:37:35,TRUE
2026/07/07,51,25,carbon,8.5,1,1,2300,717,3,40.3,25.4,13:39:53,TRUE
2026/07/07,52,26,carbon,8.5,1,1,2300,717,4,40.2,25.4,13:46:01,TRUE
2026/07/07,52,27,carbon,8.5,1,1,2300,717,5,40.3,25.5,13:48:20,TRUE
2026/07/07,52,28,carbon,8.5,1,1,2300,717,6,40.1,25.6,13:49:57,TRUE
2026/07/07,50,29,bismuth,7.92,1,1,9800,130,1,40.1,25.3,13:52:09,TRUE
2026/07/07,50,30,bismuth,7.92,1,1,9800,130,2,40.1,25.5,13:53:45,TRUE
2026/07/07,51,31,bismuth,7.92,1,1,9800,130,3,40,25.4,13:55:07,TRUE
2026/07/07,51,32,titanium,21.9,1,1,4500,523,1,40,25.6,13:56:53,TRUE
2026/07/07,52,33,titanium,21.9,1,1,4500,523,2,40.1,25.5,13:59:00,TRUE
2026/07/07,52,34,titanium,21.9,1,1,4500,523,3,40.1,25.6,14:00:32,TRUE
2026/07/07,52,35,iron,77.5,1,1,7860,449,1,40.1,25.6,14:02:27,TRUE
2026/07/07,52,36,iron,77.5,1,1,7860,449,2,40.1,25.6,14:04:22,TRUE
2026/07/07,52,37,iron,77.5,1,1,7860,449,3,40.2,25.7,14:05:50,TRUE
2026/07/07,51,38,nickel,90.9,1,1,8900,461,1,40,25.3,14:07:37,TRUE
2026/07/07,50,39,nickel,90.9,1,1,8900,461,2,40.1,25.5,14:09:10,TRUE
2026/07/07,50,40,nickel,90.9,1,1,8900,461,3,39.9,25.2,14:10:48,TRUE
2026/07/07,51,41,aluminum,215,1,1,2700,897,1,40.1,25.3,14:12:54,TRUE
2026/07/07,52,42,aluminum,215,1,1,2700,897,2,40.2,25.7,14:18:13,TRUE
2026/07/07,50,43,aluminum,215,1,1,2700,897,3,40,25.8,14:26:03,TRUE
2026/07/07,51,44,copper,395,1,1,8940,385,1,40.1,25.5,14:27:55,TRUE
2026/07/07,51,45,copper,395,1,1,8940,385,2,40.1,25.8,14:29:11,TRUE
2026/07/07,52,46,copper,395,1,1,8940,385,3,40,25.8,14:30:41,TRUE
