DATE,Material,Trial,RH_percent,Material_T0_C,Sensor_T0_C,k,Mass,Volume,rho,cp,Run_no,Timestamp,Valid
2026/07/26,PS,1,49,59.8,25.4,,,,,,1,184902,FALSE
2026/07/26,PS,1,49,60,25.6,,,,,,2,185131,FALSE
2026/07/26,PS,1,0,0,0,,,,,,3,185347,FALSE
2026/07/26,PS,1,0,0,0,,,,,,4,190030,FALSE
2026/07/26,PS,1,0,0,0,,,,,,5,192223,FALSE
2026/07/26,PS,1,0,0,0,,,,,,6,192252,FALSE
2026/07/26,PS,1,0,0,0,,,,,,7,192349,FALSE
2026/07/26,PS,1,47,59.7,25.8,,,,,,8,192526,TRUE
2026/07/26,PS,2,48,59.9,25.4,,,,,,9,192727,TRUE
2026/07/26,PS,3,0,0,0,,,,,,10,192806,FALSE
2026/07/26,PS,3,49,59.8,25.8,,,,,,11,192928,TRUE
2026/07/26,PS,4,49,59.8,25.8,,,,,,12,193109,TRUE
2026/07/26,PS,5,49,59.8,25.9,,,,,,13,193311,TRUE
2026/07/26,PS,6,50,59.8,25.8,,,,,,14,193433,TRUE
2026/07/26,PU,1,49,59.8,25.8,,,,,,15,193620,FALSE
2026/07/26,PU,1,49,59.6,25.9,,,,,,16,193713,FALSE
2026/07/26,PU,1,49,59.6,25.9,,,,,,17,193936,FALSE
2026/07/26,PU,1,49,59.6,25.9,,,,,,18,194037,FALSE
2026/07/26,PU,1,49,59.6,25.9,,,,,,19,194217,FALSE
2026/07/26,PU,1,0,0,0,,,,,,20,194419,FALSE
2026/07/26,PU,1,0,0,0,,,,,,21,194456,FALSE
2026/07/26,PU,1,0,0,0,,,,,,22,194528,FALSE
2026/07/26,PU,1,0,0,0,,,,,,23,194816,FALSE
2026/07/26,PU,1,49,59.6,26,,,,,,24,195002,TRUE
2026/07/26,PU,2,48,59.6,25.9,,,,,,25,195125,FALSE
2026/07/26,PU,2,48,59.6,25.9,,,,,,26,195156,TRUE
2026/07/26,PU,3,47,59.6,26.1,,,,,,27,195319,TRUE
2026/07/26,PU,4,47,59.4,26.4,,,,,,28,195420,FALSE
2026/07/26,PU,4,47,59.4,26.4,,,,,,29,195451,TRUE
2026/07/26,PU,5,48,59.4,26.2,,,,,,30,195607,FALSE
2026/07/26,PU,5,48,59.4,26.2,,,,,,31,195637,TRUE
2026/07/26,PU,6,49,59.4,26.3,,,,,,32,195747,TRUE
2026/07/26,cork,1,49,59.4,26.2,,,,,,33,195951,TRUE
2026/07/26,cork,2,49,59.4,26.4,,,,,,34,200107,TRUE
2026/07/26,cork,3,49,59.5,26.6,,,,,,35,200208,TRUE
2026/07/26,cork,4,49,59.4,26.3,,,,,,36,200434,TRUE
2026/07/26,cork,5,49,59.5,26.6,,,,,,37,200536,TRUE
2026/07/26,cork,6,49,59.4,26.6,,,,,,38,200936,TRUE
2026/07/26,wood,1,49,59.4,26.6,,,,,,39,201136,TRUE
2026/07/26,wood,2,49,59.5,26.6,,,,,,40,201315,TRUE
2026/07/26,wood,3,49,59.5,26.4,,,,,,41,201552,TRUE
2026/07/26,wood,4,49,59.5,26.4,,,,,,42,201944,TRUE
2026/07/26,wood,5,47,59.5,26.3,,,,,,43,202049,TRUE
2026/07/26,wood,6,46,59.5,26.6,,,,,,44,202149,TRUE
2026/07/26,PDMS,1,49,59.4,26.2,,,,,,45,203013,TRUE
2026/07/26,PDMS,2,49,59.4,26.6,,,,,,46,203118,TRUE
2026/07/26,PDMS,3,49,59.6,26.3,,,,,,47,203249,TRUE
2026/07/26,PDMS,4,49,59.6,26.8,,,,,,48,203356,TRUE
2026/07/26,PDMS,5,49,59.5,26.7,,,,,,49,203456,FALSE
2026/07/26,PDMS,5,49,59.5,26.7,,,,,,50,203532,TRUE
2026/07/26,PDMS,6,49,59.5,26.7,,,,,,51,203606,TRUE
2026/07/26,gypsum,1,47,59.8,26.3,,,,,,52,205513,TRUE
2026/07/26,gypsum,2,46,60,26.5,,,,,,53,205622,TRUE
2026/07/26,gypsum,3,47,59.6,26.3,,,,,,54,205757,TRUE
2026/07/26,gypsum,4,47,59.9,26.6,,,,,,55,205856,TRUE
2026/07/26,gypsum,5,48,59.7,26.3,,,,,,56,210034,TRUE
2026/07/26,gypsum,6,48,59.6,26.6,,,,,,57,210130,TRUE
2026/07/26,cement,1,49,59.7,26.1,,,,,,58,210317,TRUE
2026/07/26,cement,2,49,59.8,26.4,,,,,,59,210450,TRUE
2026/07/26,cement,3,49,59.6,26.6,,,,,,60,210559,TRUE
2026/07/26,cement,4,49,59.9,26.2,,,,,,61,210734,TRUE
2026/07/26,cement,5,49,59.6,26.7,,,,,,62,210848,TRUE
2026/07/26,cement,6,49,59.6,26.3,,,,,,63,210951,TRUE
2026/07/26,graphite,1,49,59.8,26.5,,,,,,64,211744,TRUE
2026/07/26,graphite,2,49,59.7,26.7,,,,,,65,211929,TRUE
2026/07/26,graphite,3,49,59.6,26.8,,,,,,66,212039,TRUE
2026/07/26,graphite,4,49,59.6,26.9,,,,,,67,212143,TRUE
2026/07/26,graphite,5,49,59.6,26.9,,,,,,68,212237,TRUE
2026/07/26,graphite,6,49,59.9,26.5,,,,,,69,213225,TRUE
2026/07/26,Bi,1,49,59.8,26.5,,,,,,70,214544,TRUE
2026/07/26,Bi,2,49,59.7,26.8,,,,,,71,214642,TRUE
2026/07/26,Bi,3,49,59.9,26.9,,,,,,72,214740,TRUE
2026/07/26,Bi,4,49,59.7,27,,,,,,73,214838,TRUE
2026/07/26,Bi,5,49,59.8,27,,,,,,74,214933,TRUE
2026/07/26,Bi,6,49,59.6,26.9,,,,,,75,215035,TRUE
2026/07/26,Ti,1,49,59.6,26.4,,,,,,76,215351,TRUE
2026/07/26,Ti,2,49,59.5,26.8,,,,,,77,215457,TRUE
2026/07/26,Ti,3,49,59.5,26.6,,,,,,78,215636,TRUE
2026/07/26,Ti,4,49,59.6,26.9,,,,,,79,215730,TRUE
2026/07/26,Ti,5,49,59.6,26.9,,,,,,80,215833,TRUE
2026/07/26,Ti,6,49,59.6,27,,,,,,81,215936,TRUE
2026/07/26,Ni,1,49,59.6,26.5,,,,,,82,220235,TRUE
2026/07/26,Ni,2,49,59.5,27,,,,,,83,220331,TRUE
2026/07/26,Ni,3,49,59.6,26.8,,,,,,84,220431,TRUE
2026/07/26,Ni,4,49,59.7,26.9,,,,,,85,220541,TRUE
2026/07/26,Ni,5,49,59.5,26.9,,,,,,86,220647,TRUE
2026/07/26,Ni,6,49,59.6,26.9,,,,,,87,220755,TRUE
2026/07/26,Fe,1,49,59.6,26.9,,,,,,88,220924,TRUE
2026/07/26,Fe,2,49,59.5,26.9,,,,,,89,221026,TRUE
2026/07/26,Fe,3,48,59.6,26.9,,,,,,90,221130,TRUE
2026/07/26,Fe,4,48,59.6,26.9,,,,,,91,221817,TRUE
2026/07/26,Fe,5,48,59.4,26.4,,,,,,92,221924,TRUE
2026/07/26,Fe,6,49,59.4,26.4,,,,,,93,222043,TRUE
2026/07/26,Al,1,49,59.8,26.2,,,,,,94,223057,TRUE
2026/07/26,Al,2,49,59.8,26.6,,,,,,95,223207,TRUE
2026/07/26,Al,3,49,59.9,26.5,,,,,,96,223323,TRUE
2026/07/26,Al,4,49,60,26.6,,,,,,97,223456,TRUE
2026/07/26,Al,5,49,59.9,26.8,,,,,,98,223611,TRUE
2026/07/26,Al,6,49,59.8,26.6,,,,,,99,223725,TRUE
2026/07/26,Cu,1,49,59.8,26.7,,,,,,100,223840,TRUE
2026/07/26,Cu,2,49,59.8,26.9,,,,,,101,223938,TRUE
2026/07/26,Cu,3,49,59.7,26.8,,,,,,102,224036,TRUE
