number,value,params_colsample_bytree,params_input_magnitude,params_leak_rate,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_res_size,params_spectral_radius,params_subsample,user_attrs_duration_seconds,user_attrs_mean_fold_nrmse_training_range,user_attrs_objective_J,user_attrs_pooled_mae,user_attrs_pooled_nrmse_range,user_attrs_pooled_r2,user_attrs_pooled_rmse,user_attrs_prediction_range_coverage,user_attrs_sd_fold_nrmse_training_range,user_attrs_worst_fold_nrmse_training_range,state
0,0.28364097243906655,0.85,1.0,0.1,0.05,3,1.0,500,0.0001,1.0,20,0.9,0.85,38.03447525000229,0.16427239154167703,0.28364097243906655,4479.29902845951,0.21951947709495181,0.47035937225698365,8156.92778781974,1.0,0.25648598137645895,1.0324911071855767,COMPLETE
1,0.2785346830351573,0.9,0.36,0.7,0.03,4,0.5,800,1e-05,0.3,11,0.83,0.9,46.423906375002844,0.1631904211189416,0.2785346830351573,4500.33687093188,0.21625984667332188,0.4859717897244966,8035.80609822718,0.9053499263720933,0.24909934544734189,1.0011149076407064,COMPLETE
2,0.27836909849561836,0.5101537197345953,1.7541346645212776,0.4231380536632351,0.17681300513212714,4,2.012701405986034,752,3.644652482792098e-05,26.03058711556135,22,1.0322213875194863,0.903411663656835,48.95107799999823,0.1627843931440316,0.27836909849561836,4446.295343512385,0.21609608806652544,0.48674997092021455,8029.721138714932,0.9273757937272034,0.24909204171637161,1.000336036358838,COMPLETE
3,0.28529926894303903,0.7131021406343739,0.7899784047141699,0.4475844222537138,0.07143279630406682,6,0.5799394006124057,1093,0.00036075238942410927,13.151745255049628,30,1.125449178202187,0.9272810084847992,140.44266579199757,0.1690198279432646,0.28529926894303903,4682.436665303435,0.2223269349684346,0.45672548326510376,8261.247602372867,0.932749071396373,0.25188933589841783,1.0091250324602967,COMPLETE
4,0.27858433096337387,0.46190385238702564,0.42547866177727733,0.2981539122032387,0.031472129490909696,4,2.942812956611264,244,0.3320354171981087,1.503639980987409,30,1.130335779337884,0.7034215894241039,38.20760520800104,0.16053171668708885,0.27858433096337387,4452.89977981531,0.21565407527553426,0.48884747358040803,8013.296780999065,0.9175627188120447,0.2517210227513584,1.009605378035119,COMPLETE
5,0.27517623262874863,0.4685405419424807,0.325809438161915,0.4347034430404555,0.029222957652901334,5,0.654533252884089,465,0.17224100572176346,0.0760879983147087,10,0.8473299663627378,0.6730559746322679,35.68248304200097,0.15844056946752866,0.27517623262874863,4352.969950188841,0.21282764701985019,0.5021583128610514,7908.272062991487,0.9731666708656969,0.24939434243559383,1.0022138510659366,COMPLETE
6,0.2746454900667291,0.5284843155722522,1.0946345278334146,0.6287838150293461,0.022216320269086976,3,2.0956110642565635,509,6.229214449152028e-06,0.6549011128488195,24,1.1297039860760172,0.80661873140401,35.646103082999616,0.15762542139676686,0.2746454900667291,4292.812131769881,0.21227378473219938,0.5047461058709369,7887.691589930273,0.9152922250078824,0.24948682133811906,1.0024994374745306,COMPLETE
7,0.3043034121028176,0.5419509151051711,1.3936367120404827,0.5830064493666736,0.026287193784865475,2,0.30818860485044414,264,0.0009188610205591764,19.93596046987143,16,0.9049725051969755,0.6594484165871501,19.451009958000213,0.1709057803995784,0.3043034121028176,4927.4333309904705,0.23482751554508466,0.3939155533918909,8725.745488478216,0.4514965047640152,0.27790358623093164,1.1075073073456967,COMPLETE
8,0.27681464591059785,0.4842821478352174,1.2759202394106268,0.6629370237759182,0.04437430121379882,5,3.8330978305221253,592,1.192727954368058e-06,0.01113877359577184,16,0.7534553065551853,0.7444506727469881,45.97817620799833,0.1617517248736521,0.27681464591059785,4411.289953899679,0.2146059111375022,0.4938042054690033,7974.348987860819,0.9999486494435071,0.24883493909238263,1.0024691777397374,COMPLETE
9,0.2772952109904684,0.4126131881725957,1.486431435864482,0.45399415041463154,0.034316545363493184,5,0.7673535139298574,593,0.011615402047821115,0.5740186338756653,26,0.821423458768402,0.9928912896472828,67.81356058399979,0.16238302337067065,0.2772952109904684,4471.396156792407,0.21516135550977822,0.49118053626475944,7994.988248188716,0.9565688638400646,0.24853542192276057,1.0002835532361785,COMPLETE
