outer_fold,held_out_material,trial,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,washout,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_inner_nrmse,sd_inner_nrmse,mean_inner_r2,performance_index
1,aluminum,24,expected_improvement,78,0.44206867081766615,0.8681256977198613,1.4494747411358855,4,446,4,0.014408529186511322,1.2289242399238836,0.9404570463834628,0.4103473708459985,0.01804690413130856,10.844206981964412,0.24410768840486724,0.08534147347613774,0.603853254421234,0.2654430567739017
1,aluminum,16,expected_improvement,27,0.7980227652714781,1.4582291902687585,1.4808998156760735,5,560,3,0.017496474965142846,18.77153149013232,0.6300652308464253,0.3668086628989705,0.02917024212556975,3.286513701428072,0.2573859334513349,0.11241102215558157,0.5330052083417813,0.28548868899023033
1,aluminum,40,expected_improvement,40,0.9382690777439177,1.563293147675018,1.423152707914653,4,570,2,0.07566132069853587,19.11204620554172,0.6572025723263223,0.4754776953290059,1.8574368084119046,0.824102803538072,0.27088492624283494,0.06823000747240578,0.5384460384321623,0.2879424281109364
1,aluminum,21,expected_improvement,41,0.13539473471527058,0.6876538905915797,1.4418667622499306,1,163,1,0.05542926290443824,4.013897157753816,0.6413688818868925,0.44949242743261963,0.007228267641142148,0.46230111951604075,0.2702227343180088,0.09318250091259309,0.5198711066843101,0.29351835954615707
1,aluminum,43,expected_improvement,46,0.6583217568118174,0.6102967403645988,1.4315941406602077,2,523,2,0.022527007340129145,3.755641187237224,0.7466920564461804,0.3171365626894202,0.6518384732784858,4.775776551577444,0.26984079380381126,0.09720096651698246,0.5150701103585021,0.29414103543305686
1,aluminum,8,random_initialization,66,0.27982017387977165,1.2681961442528047,1.1575080728348477,3,577,3,0.06290110163679075,1.0501926338363732,0.6592699575580653,0.4505039620174998,0.007416974135681198,0.44985454896536875,0.27730797261469237,0.08087392655495691,0.5093392839841635,0.2975264542534316
1,aluminum,36,expected_improvement,70,0.7928836628685588,1.2920008703756942,1.3052547947342086,4,549,2,0.010879767910143001,1.2255397703512332,0.9637236735422061,0.30876643264265785,0.01002513867395221,0.11057062021217623,0.2758979043733304,0.10784452960427172,0.4833500498816657,0.30285903677439835
1,aluminum,20,expected_improvement,32,0.2109458471597111,0.9005928640947114,1.4448952243811921,5,405,3,0.040335380935011024,2.60362708913605,0.6955374363587423,0.377631861784406,0.015530885551377337,0.999821681672851,0.27787766692163085,0.11790769289670895,0.46462959026903317,0.30735459014580807
1,aluminum,12,random_initialization,52,0.0767093271571275,0.8382309104789029,1.4529167327512953,4,220,3,0.08502235937459972,19.339814373670205,0.6817753792371142,0.661563893087026,0.01141501041744222,6.7735487579954485,0.2852803923474429,0.09755896826639181,0.4652484866489198,0.30967013441404084
1,aluminum,29,expected_improvement,43,0.28887859802967664,1.2699384204967767,1.4183812074677105,1,563,3,0.05652558294633357,1.6550044685847034,0.7883199310060689,0.5450423941485624,0.015751245915566984,5.45217777567077,0.2863542245707573,0.11248315271935805,0.4440045807915014,0.31447501275059686
1,aluminum,38,expected_improvement,74,0.7233111861303017,0.33776787826023474,1.2606297806149318,3,586,3,0.013230601112259288,1.0426489584921346,0.7762503960491605,0.3904320142595958,0.016776725089748493,0.22175992515583312,0.2912318867642835,0.13110574161736027,0.4013094281700853,0.3240083221686236
1,aluminum,18,expected_improvement,78,0.26327828423439625,1.3666517122938306,1.170299923088739,1,592,4,0.11805094697188476,1.7319043482243766,0.9166072638039674,0.312225689532517,0.003719703862592383,0.11187300091142921,0.31117731164306706,0.16265794413676876,0.2799390648131233,0.35184179767725926
1,aluminum,10,random_initialization,38,0.2348667628527925,0.8003563712250243,1.2905052916631155,1,575,3,0.12757117375018573,1.463711437491241,0.6281076986883142,0.3487306303047678,0.0006185344876235239,0.24468298529771665,0.31672242360928443,0.14495470732135976,0.29039348005172927,0.35296110043962436
1,aluminum,22,expected_improvement,37,0.8167013520864533,0.47396695053444415,1.463297331547157,3,534,4,0.048162311890054856,2.223510633377457,0.6190354968304901,0.3887171163449272,0.01199893425443025,8.992270692609678,0.3328387489421917,0.15547808509063835,0.21090844807733605,0.37170827021485126
1,aluminum,33,expected_improvement,47,0.16900456781383327,0.9295315241298533,1.3354312730653026,3,593,2,0.1087687593790558,1.4250465172968472,0.6992678339094643,0.4761104042757118,0.17513095797739933,32.435853919772065,0.3346481131011637,0.17571446436016952,0.16538039065054455,0.3785767291912061
1,aluminum,1,random_initialization,11,0.3972942957965762,0.3944110773151144,0.8974819029153143,2,453,2,0.05378534666290853,5.367237001711054,0.6359390999293191,0.3062584788570718,0.008154594453375784,49.076995896503114,0.3389626040392141,0.17297233514675558,0.15241405348260778,0.382205687825903
1,aluminum,23,expected_improvement,66,0.0674106981209445,1.3797592029153016,1.4551313456226214,3,223,2,0.07902523691749658,15.895310070594727,0.6771002904834917,0.5213947983808574,0.0023966506265334486,0.42245062660969934,0.3453124937911518,0.2015671811617885,0.06727228860027945,0.39570428908159894
1,aluminum,35,expected_improvement,45,0.05335320519569602,1.7947588102910295,1.2716116306347545,5,127,2,0.026791870717836702,6.733874337672414,0.6187175928417167,0.3747154446183083,0.042649965883313656,0.1080098224489862,0.34669709817253314,0.21855227596158194,0.020278031906846072,0.4013351671629286
1,aluminum,27,expected_improvement,33,0.5081921188411461,1.9773031636355174,1.48888376039535,5,589,2,0.03246980635758554,6.873917509138226,0.9160131664849521,0.41766196235096853,0.007709775515485574,0.20179150463769582,0.34651426953298026,0.2197897007319325,0.018947243265051317,0.4014616947159634
1,aluminum,37,expected_improvement,32,0.23782767944503908,0.6437969356590291,1.3052316217822932,3,335,2,0.01633788640108689,12.913791436496892,0.6626655955697391,0.46794663784430823,0.00039898024506861656,15.581600388558309,0.3584904145821751,0.1906549458001833,0.033866172233513125,0.40615415103222097
1,aluminum,50,expected_improvement,37,0.20534809058486814,0.4859324790108921,1.482074333528014,2,468,3,0.08534908617385265,11.68904793021649,0.7401816481820268,0.5595964956045903,0.43199536460417715,0.24507714187561197,0.3597113389293615,0.20627752797120447,-0.0026964729513566654,0.4112807209221626
1,aluminum,28,expected_improvement,54,0.5925754798122426,0.46027020184013995,1.4814212106447289,3,105,2,0.032490596617222256,3.068543743558836,0.793682725570441,0.3545928786448152,0.018217474117391108,0.10251495685708792,0.36110132469958733,0.2131777565681389,-0.026649215278299332,0.4143957638416221
1,aluminum,45,expected_improvement,40,0.17241273502553262,1.7853718172775075,1.1513220835385365,2,437,2,0.07048826041943833,9.913512279946582,0.62962942513864,0.33192396878207525,0.0009148929818044419,0.2555563694040573,0.3642447016302665,0.2727711933551163,-0.20460925949822883,0.43243749996904557
1,aluminum,41,expected_improvement,34,0.13487732104167283,1.5494110502351748,1.3758655396900155,1,589,2,0.02068596477328381,6.475140470464812,0.6250191014141796,0.7171956936056427,5.303140529551999,0.12238758832406343,0.39780777503792575,0.2382526743178999,-0.25672192157756324,0.4573709436174007
1,aluminum,13,random_initialization,17,0.2659766966311425,0.4037073895223261,1.0999042012118998,2,494,3,0.08634530778884966,2.7687194873593235,0.6146338465090835,0.9347400947227522,0.012223766882343537,60.92675493294534,0.4033938090393762,0.2507554982694787,-0.3155692655415957,0.4660826836067459
1,aluminum,39,expected_improvement,78,0.15106665935959115,1.5119851004495033,1.283202339282911,5,442,4,0.1448851461666984,1.1048593504936897,0.7095125610185429,0.3100986694228748,1.0559742977165423,0.7925068188208007,0.40235446574322453,0.30775193221656677,-0.49237274263444697,0.4792924487973662
1,aluminum,47,expected_improvement,45,0.7106496924270164,1.2218315868102834,1.4863072490005673,4,125,2,0.10631638453090846,1.4673468452779064,0.6903959631151162,0.30500638872176367,0.032611971097465615,27.563141750866976,0.4100444715384557,0.29387755789186776,-0.48176763013267276,0.48351386101142263
1,aluminum,19,expected_improvement,28,0.3006601955325891,0.6327163154067863,0.5318375026234234,5,377,3,0.04243504487184262,10.454136367472772,0.9218761079694939,0.36294305348205047,0.018661405660607946,0.9138780926467444,0.4461317425759054,0.35943875117002766,-0.9063722679911679,0.5359914303684123
1,aluminum,15,random_initialization,43,0.4736572440193618,0.4800774196357882,1.329820839145303,1,449,2,0.12211541173289485,14.837397139426553,0.9473880524126784,0.5646221648391645,0.0005297293792624469,10.175794844624924,0.4536372038061251,0.33851074165032474,-0.86143468910307,0.5382648892187063
1,aluminum,31,expected_improvement,26,0.6737557847955802,0.8519392562465161,1.1860973941640334,2,395,4,0.0657433995553949,1.8666446622200128,0.9778701137387351,0.49078510398856023,0.009671642351025985,3.606568077968259,0.4560995167429702,0.37622505437854925,-1.029870073365158,0.5501557803376076
1,aluminum,34,expected_improvement,55,0.13201699514644308,1.0055813357293486,1.4403946342646718,1,170,2,0.03296337547095285,17.122531867922152,0.9002531278337333,0.4796675944872595,9.704003743397038,1.7656185581785773,0.4812174795098372,0.2863991934647198,-0.8301237334090437,0.5528172778760171
1,aluminum,7,random_initialization,36,0.28317034299870947,1.4415767151199568,1.078138877933357,0,398,2,0.13424286733161025,1.5603308136279734,0.8078656922264991,0.5514604372625913,0.05522828616229167,17.738099885778585,0.45976964980047824,0.3740359805332517,-1.0401716867053323,0.5532786449337912
1,aluminum,42,expected_improvement,54,0.6201636496365068,0.873793121757688,1.4552913025104004,5,514,1,0.022466888714460842,1.2453500960340311,0.9548043370710055,0.622309016399238,0.0011807791198680704,12.531698607178543,0.46490632820434274,0.4125431255987505,-1.243266436981973,0.5680421096040303
1,aluminum,26,expected_improvement,67,0.10273523359270813,0.9184845040878672,1.465817927250225,4,543,2,0.035690889718437945,4.454390537473425,0.7321545349105942,0.32444848190055575,0.03197098198531255,0.1592003061923956,0.464035044263939,0.43471352010099334,-1.3454355754548313,0.5727134242891874
