outer_fold,held_out_material,trial,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,washout,mean_inner_nrmse,sd_inner_nrmse,mean_inner_r2,performance_index
1,aluminum,2,random_initialization,59,0.3180096384804454,1.3372132084838495,0.973082811619737,0,0.4185891828892837,0.33976372166127844,-0.6882617963098366,0.5035301133046033
1,aluminum,4,random_initialization,62,0.7011983486433049,0.5714909963282258,1.0045671931132139,4,0.42898247513678456,0.3786983232568503,-0.9004367453606006,0.5236570559509971
1,aluminum,1,random_initialization,11,0.3972942957965762,0.3944110773151144,0.8974819029153143,2,0.524737106141262,0.5475639656443736,-2.3331392261047155,0.6616280975523554
1,aluminum,14,expected_improvement,32,0.9354446163101787,1.5341687835893159,0.45027068295022865,2,0.5463925486952363,0.588459076067083,-2.7364430185382527,0.6935073177120071
1,aluminum,23,expected_improvement,18,0.057491499314427125,0.36937941215813314,1.1587774302612543,5,0.5589244046373953,0.6013985850862421,-2.9053420643986883,0.7092740509089559
1,aluminum,20,expected_improvement,33,0.11522708434775833,1.5646706051931114,0.638839989647702,1,0.570442554263358,0.6309615139485583,-3.1911175839086576,0.7281829327504976
1,aluminum,24,expected_improvement,67,0.4922955594530945,0.9998479402391061,1.1780418309168779,3,0.5849934242131896,0.6429926019345147,-3.377596490436244,0.7457415746968182
1,aluminum,11,expected_improvement,66,0.5095448610704284,0.794238740696062,0.5310564735932304,0,0.6006895647843231,0.622263683432569,-3.334473707178002,0.7562554856424654
1,aluminum,19,expected_improvement,25,0.3611589447512189,0.7863852500507716,0.3967153559495976,4,0.6090169397308747,0.711493263136899,-4.0788980522073155,0.7868902555150994
1,aluminum,15,expected_improvement,36,0.15258931369517803,0.3051005904922827,0.8246734209353592,0,0.6221453986992324,0.6910307215155176,-4.007985079051547,0.7949030790781118
1,aluminum,5,random_initialization,74,0.08706496495724861,0.42824095429666686,1.4637719616515248,4,0.6299119601361308,0.6767678947992188,-3.952031593189745,0.7991039338359356
