trial,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,washout,mean_inner_nrmse,sd_inner_nrmse,mean_inner_r2,performance_index
16,expected_improvement,42,0.18569093159222338,0.41068671103324117,1.4357638917339626,0,0.3123559853814337,0.1571194096305071,0.2826933194776944,0.3516358377890605
15,expected_improvement,14,0.15250139737284057,0.602054441917776,0.8633694742335136,0,0.32744386738507114,0.19648244857403666,0.14630312686057712,0.3765644795285803
1,random_initialization,17,0.48086156557019594,0.5910065995562324,1.108652728115997,0,0.3768722132864367,0.26036477996955065,-0.22495863814694927,0.4419634082788244
20,expected_improvement,43,0.6779339837751204,0.3270723540271644,1.4973010638498914,1,0.40105641435815487,0.3222665622167276,-0.5426281366568897,0.48162305491233676
12,expected_improvement,38,0.11341542743322289,0.7935262909429501,0.9002390991817011,0,0.4118401724767018,0.366428612156449,-0.7666767521304055,0.5034473255158141
7,random_initialization,51,0.16810567495304468,0.762218026696571,0.4786706172277963,0,0.43525151232520654,0.39285871630718494,-0.9972755737832146,0.5334661914020028
14,expected_improvement,10,0.24398291109543163,0.2749595937852902,1.405171031776271,1,0.4377111633853179,0.38531534467740003,-0.9780603130444918,0.5340399995546679
17,expected_improvement,13,0.8417243836145933,0.6521706754754774,0.7969809210163896,0,0.4800810255331285,0.4669759705986705,-1.6049176183288363,0.5968250181827961
24,expected_improvement,78,0.1973093019028575,0.5494067162918383,0.6559498475661136,0,0.4909354522246959,0.4706105714614467,-1.685433166161889,0.6085880950900576
3,random_initialization,71,0.0685787997581632,0.5618171064747224,1.2845100181416065,1,0.49470413091550314,0.49827702387379663,-1.8608561192439228,0.6192733868839523
11,expected_improvement,17,0.10965442594369543,1.0112163644102745,0.45446755047982007,0,0.5023667443092824,0.5151648220033586,-2.0043308946596685,0.6311579498101221
2,random_initialization,50,0.3302479209839411,0.7894141952696274,1.3363476795930653,1,0.5187613384274746,0.5554781668985148,-2.349296636480194,0.6576308801521034
19,expected_improvement,42,0.9494613276313548,1.2849003014699538,0.4111786401646462,0,0.5535538342436025,0.5727753336071194,-2.6801923402308683,0.6967476676453823
10,expected_improvement,21,0.7762875322207353,0.4124182860022194,0.46858945712863187,0,0.556582204325779,0.5973814086165502,-2.8663696438012516,0.7059275564799166
9,expected_improvement,10,0.42665883392181,0.355450950639866,0.41274587265602425,1,0.5682323640540675,0.5746341710631465,-2.7886730602801055,0.7118909068198541
21,expected_improvement,61,0.8295546939059283,1.4149302496716496,0.7032248732365203,0,0.565355595197747,0.6304433641770849,-3.1574093082963364,0.7229664362420183
8,random_initialization,28,0.39092087952044713,0.7935851906883007,0.871713575808188,3,0.5827823740870467,0.6149439079690011,-3.163715636954784,0.736518351079297
4,random_initialization,50,0.6141594604214227,0.6173644641999214,1.1598215212936611,3,0.5917110840978496,0.6915769665975169,-3.79949568022314,0.7646053257472287
18,expected_improvement,11,0.13692132694960946,0.4722029321763279,1.0528731727913767,0,0.6047117879985233,0.6701437573910531,-3.7229279714962913,0.7722477273462867
5,random_initialization,57,0.7364682069147184,0.7559660229467444,0.8041055095781959,3,0.6080407860123631,0.662318164148104,-3.685969119326016,0.7736203270493891
13,expected_improvement,16,0.14575222925267345,1.9553535263394577,0.43434759228885506,0,0.6067861456154195,0.7242074132973321,-4.171150405053874,0.7878379989397526
22,expected_improvement,66,0.5074471500121295,1.5662956322237045,0.33906517158688015,4,0.6261263570070237,0.7259566550841193,-4.324394973646413,0.8076155207780535
6,random_initialization,73,0.7557312316208777,0.9915351482634593,1.1032128365352998,5,0.8768665189646847,1.1305260990611279,-10.85063444981444,1.1594980437299667
23,expected_improvement,24,0.8078330524086753,1.102445088688579,1.246044123810827,2,0.8821067445973514,1.1711768201364108,-11.443203459973834,1.174900949631454
