outer_fold,held_out_material,res_size,leak_rate,input_magnitude,spectral_radius,washout,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
1,aluminum,78,0.44206867081766615,0.8681256977198613,1.4494747411358855,4,446,4,0.014408529186511322,1.2289242399238836,0.9404570463834628,0.4103473708459985,0.01804690413130856,10.844206981964412,6,6782.018602109834,7060.117367973745,0.19000208327954782,-6782.018602109834,32.621124981533086
2,bismuth,33,0.09916362864935221,0.8535167909293403,1.141350790644737,0,151,4,0.047680687889373435,18.59515803616595,0.7036237420102732,0.3099881906324076,0.0006469075215391312,0.18120865708571046,6,648.3930948185229,709.6706384126664,0.01909867679429699,-545.8106759598807,21.01246259554147
3,cement,66,0.0845707276020109,0.9786472005192028,1.1974182201915335,3,239,2,0.0192856563414949,5.132169734335645,0.7768597444351217,0.3546536662089799,0.42605463914369496,1.2233151423986472,6,155.5926015954871,172.07888175229863,0.004630991854280643,155.5926015954871,27.616049390553272
4,copper,31,0.6538310231714827,0.5766202909172887,0.6898743206844096,1,548,4,0.10935886221188307,10.352408891600177,0.6782868774083711,0.32564054088280625,0.011325113512084754,20.28372219347854,6,21848.070598825318,21989.742613384584,0.9191653507920354,-21848.070598825318,59.32837873944305
5,cork,30,0.13909789359680652,0.3765914607697769,1.4598280229733185,4,423,2,0.033613139726031964,16.65928619083694,0.8053682857858585,0.6344356560680937,0.21880878196611603,29.707669312228933,6,91.66888390828582,106.10049867984394,0.0028553796963229506,91.66888390828582,72.45793727046254
6,graphite,59,0.09155614392069952,0.33223669468985517,0.7608508666303289,1,313,4,0.1383451465490537,1.0135652969281717,0.6361269117918259,0.6966325325783961,3.127948079438606,4.019473834713772,6,1939.9759276674674,2694.8490311750415,0.0725238552505935,-929.0940698947642,9.756325831031862
7,gypsum,70,0.7112035203377873,0.46056159844424993,0.5957783987304601,4,343,2,0.010957694077229064,4.67640369632732,0.9128105722738301,0.7143517770850847,0.02522434579187625,0.9728857334346811,6,143.73104894469373,144.14480662270628,0.003879229214584865,143.73104894469373,35.81636810886684
8,iron,56,0.40886511810862414,1.834816777807222,0.8888743431951478,2,573,1,0.13821333879944303,6.14439361694914,0.6674787584448568,0.3045491762745616,0.2491921538684847,6.435537519677562,6,7339.595864333394,8350.389027252682,0.224725911579008,7339.595864333394,45.32501431387927
9,nickel,78,0.651495830095606,1.4426558481174356,1.384729171503568,2,561,4,0.02067126677840053,4.59358498306694,0.6268722333188342,0.5593075301699519,0.03674386591585262,0.2962603073891712,6,6266.811551246849,6452.476518403409,0.17364923512041683,-2932.694093844713,33.16142387070789
10,pdms,51,0.3463633470158651,1.9566987084381045,1.2780141222803907,4,318,3,0.14026706883549883,18.65097577875627,0.9605004914508066,0.5573969841588817,0.016617441741902658,0.14319564113788882,6,218.9481172073224,238.90036425087897,0.0064292935284356615,-218.9481172073224,50.688473271925986
11,ps_foam,71,0.44399092617111013,1.5422178404651996,1.4590291882091977,1,413,3,0.05513203178802241,18.500324101989,0.9413201138219912,0.8116857718105472,0.0007104335693834979,0.3619585691445273,6,37.807195927439615,38.98870691363322,0.0010494911815034172,37.807195927439615,112.96410306961033
12,pu_foam,58,0.8541186360505648,0.8595170162162288,1.4384234532096623,4,594,2,0.05293183225545704,19.9191261067215,0.9792428189540312,0.5417990840438766,0.001501475168212535,1.099206081265757,6,44.065038191904044,48.477328898433385,0.0013046232806712772,44.065038191904044,79.28303445064708
13,titanium,46,0.9494232427094893,1.2874818156592691,1.4752385986563294,1,391,2,0.050830825884452806,1.5774577717540876,0.6143381107035922,0.39334426596386607,0.2811155075708055,6.778188216640394,6,4692.0293399567845,5066.36601179604,0.13634618898328796,4692.0293399567845,73.30927733749057
14,wood,55,0.6043144560683016,1.9483159823592677,0.8215233986955126,2,448,1,0.1036293869348117,18.98420827431976,0.6687812119911353,0.8342497915493963,0.6967173645157186,1.3999993680224054,6,175.8592399737249,185.43303026618227,0.004990379086222735,-175.8592399737249,44.31703345611824
