trial,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,washout,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_inner_nrmse,sd_inner_nrmse,mean_inner_r2,performance_index
40,expected_improvement,26,0.15405677912001153,1.4425319072533664,0.3551351254709197,3,224,1,0.10958525164566212,14.327066349997319,0.6167747796739028,0.641306844958786,0.22173203440899703,13.302077544520833,0.21353058730667743,0.06394222705757048,0.7001966476506116,0.22951614407107004
39,expected_improvement,22,0.33375765361522214,0.3266626388613795,1.230009486391923,2,322,1,0.12190338632953075,17.74305144683908,0.6155643294723835,0.5037468762311249,1.2505032013586734,1.1947260717040635,0.21497011538791244,0.11341761269034892,0.6413013272964245,0.24332451856049966
44,expected_improvement,37,0.8210462076487242,1.8502519081453717,1.1410014287183752,4,598,1,0.03046862954787092,19.40004623931882,0.6026409406270642,0.7899325780532331,0.03432300417718326,0.17927007413598306,0.2312125947128629,0.0630905686392918,0.6529839312664706,0.24698523687268586
28,expected_improvement,22,0.9313786723480482,1.1452351086761257,1.2100780614288023,0,121,2,0.14712966678582276,14.541457612208793,0.6079290670349331,0.5040041226560016,0.12528181990699955,24.137322984181058,0.23403696595378976,0.07961718399146711,0.6347632855844723,0.25394126195165656
41,expected_improvement,74,0.32855303912097183,1.4524232691923977,0.9944946572785658,1,278,2,0.04476076377666451,19.758253716087374,0.6131315224052971,0.45110404367946266,0.012423367424034493,0.13219686395319472,0.2396335155968603,0.07128889421787683,0.6215158848843773,0.2574557391513295
33,expected_improvement,65,0.06261983789932477,0.6546262911547118,0.8201011234912754,5,222,3,0.11289211943057531,18.875717141291666,0.6092751305086831,0.6608892366721824,0.016692288302091105,37.50669927891854,0.24304685637822612,0.08112183931735419,0.6018936512719142,0.26332731620756467
21,expected_improvement,65,0.42750189220105916,0.5476089059533027,1.2615122335022093,3,118,2,0.03068353151529619,16.770221119740427,0.7075204517364215,0.6871764990480214,0.0006853398997312408,0.6000434709475109,0.26604163437957284,0.07546814069914322,0.5398110979030262,0.2849086695543587
14,random_initialization,64,0.0730967845159887,1.6110058335852977,1.2046011894022717,2,109,3,0.03435833379670957,8.606205037424397,0.7747875318428409,0.5615868075456363,0.007672850710936943,0.24602041415690898,0.2624258745999813,0.12744096194297402,0.4987184504090026,0.2942861150857248
20,expected_improvement,27,0.5039316477698212,0.5233017495160287,0.9797448506781505,0,572,1,0.13931293344085127,2.614462801078674,0.7041587280211454,0.3311577809177435,0.8549851492414708,95.91594067416158,0.2769052172204346,0.13783585694004352,0.4369202680983431,0.3113641814554455
30,expected_improvement,11,0.8576344568486295,1.061553998533935,0.7109482398303227,0,159,2,0.09242816227164807,15.361303758057806,0.7026530363903767,0.31259766026527763,0.09653365572531762,76.55250317141363,0.29660836100117505,0.09202346747961097,0.4207289365947149,0.3196142278710778
16,expected_improvement,27,0.1322451015586537,1.074136948775799,0.8122936245064827,3,348,2,0.10725962219632695,17.58548279488014,0.6204227706680269,0.9961150300018271,6.440716246539454,62.88677125489616,0.30492160076836317,0.11177008090756256,0.364667843056369,0.3328641209952538
25,expected_improvement,42,0.1549642441541194,1.9828130078309314,0.6112077804352543,0,451,2,0.03463985588067962,11.749249249496943,0.8958707501108774,0.5223993545935651,0.00016768203977793051,1.2216688076976085,0.3018283150508604,0.1777753991128493,0.28023294220547673,0.3462721648290727
36,expected_improvement,34,0.4918065542751604,1.6188659089967357,0.33175848360132587,2,394,4,0.14462756602323734,9.49801496371527,0.6033628376258705,0.4861612331764274,0.013383831491541575,84.61481373949968,0.30749237581407,0.1742372772031313,0.266590455957448,0.35105169511485285
2,random_initialization,67,0.18455868698458383,1.2508127142949106,1.0522126138952301,1,458,3,0.060495661351854337,9.825412879665164,0.7156493766735416,0.5940615472539477,0.14733509679612844,52.633911039312665,0.3104503373370494,0.17090780382978948,0.26257410715868257,0.3531772882944968
10,random_initialization,55,0.3311686333324676,1.2676658097615148,0.835113944955445,1,571,1,0.05462448407251069,2.1993576684709764,0.9039268343631699,0.4762289000590122,0.0012119134739335758,0.20184089331056942,0.30996152803487587,0.20358669977690388,0.195450030143984,0.3608582029791018
1,random_initialization,17,0.48086156557019594,0.5910065995562324,1.108652728115997,0,382,2,0.02304169738664954,13.29228101566579,0.6607688914942353,0.9137359223340418,0.0001268281198102313,0.34240776989520355,0.3169437576679534,0.17870352265152037,0.22349658872912231,0.3616196383308335
34,expected_improvement,40,0.1652265137877709,0.7234693594698066,0.895582878692438,3,261,3,0.14865139761682827,3.3650997937206686,0.6548446854335829,0.5447523647993429,0.21768329572114614,44.74337555340267,0.3230658901333473,0.17623525801296394,0.20549622956831826,0.3671247046365883
32,expected_improvement,38,0.6261228409535997,1.525366187696874,1.2477711553387016,1,229,3,0.03889905248654824,18.154428332304814,0.8088429387161984,0.5799780367413117,0.00031193672149925,1.1058228766893359,0.3263425273878642,0.18713352376465825,0.1698336681895768,0.37312590832902875
43,expected_improvement,34,0.5056022917845072,1.7692998983877688,0.5110947363980992,3,340,2,0.02808390560922693,17.40347656692871,0.639413102311266,0.3361357989681727,0.0006187378093108227,71.34612744861397,0.3509980743032254,0.12726596620262226,0.15568054335181022,0.38281456585388096
35,expected_improvement,80,0.4223774388831996,1.6203809485227354,0.33995399632483764,1,230,1,0.04596087065296678,1.4279245256283448,0.6674095983883771,0.3530885698112485,0.00010211051285503966,0.29654133345788203,0.329178428300564,0.2494973361307625,0.004604169282664383,0.3915527623332546
23,expected_improvement,55,0.1173022933689535,1.5285470765518436,1.3927755248891716,0,191,2,0.042171058692531245,2.3128842661845392,0.9239123217123273,0.3819997657331925,0.0038441019481478675,0.8587275148738213,0.3415860544394539,0.22655658297591627,0.016380186786634554,0.39822520018343294
29,expected_improvement,14,0.4210129641585224,1.199079872327368,1.2353023190164591,4,127,2,0.052614601595850616,3.5242046334090853,0.6102857779991324,0.3854037528853323,0.0018681795354449772,0.13073467633870856,0.34875214404480914,0.22760241203832074,-0.014536404442169859,0.4056527470543893
37,expected_improvement,71,0.5037437959890657,0.4076927491563418,1.1757885260770704,1,529,1,0.0995695016389629,10.917482746979141,0.6116489185672784,0.4570933712019546,0.004056317091513493,48.15096567138773,0.37143059812616547,0.24051661795120768,-0.14680750227497313,0.4315597526139674
7,random_initialization,79,0.10025925267412383,0.8992608811163462,0.8089347669660494,5,297,1,0.014925582734436608,1.3039030710113626,0.9456655224468127,0.4807165074304436,0.0007071327818218771,0.14506592067711585,0.3965509416344628,0.29213993738963157,-0.4153168382819741,0.4695859259818707
19,expected_improvement,48,0.39709134234077487,1.5453107403872735,0.5942744219761935,4,323,2,0.08644514569819052,6.449762129135055,0.7361489207654373,0.4528768261735808,5.880123486157847,36.34373574111725,0.41051350022090616,0.268929508682615,-0.4118589912976904,0.47774587739155994
18,expected_improvement,53,0.453620944289957,0.5038790542351056,0.361735328148226,5,125,3,0.11044102410682845,7.503093143649054,0.8249430951091604,0.5026694566531167,0.20993023290878998,99.05930455294862,0.4213878104812956,0.24098525947652724,-0.3859293090266543,0.4816341253504274
