trial,res_size,leak_rate,input_magnitude,spectral_radius,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,objective_J,pooled_nrmse_range,pooled_r2,pooled_rmse,pooled_mae,mean_fold_nrmse_training_range,sd_fold_nrmse_training_range,worst_fold_nrmse_training_range,prediction_range_coverage,duration_seconds
207,11,0.6314836603741096,0.7596703287054567,1.1579615689227611,1052,3,0.12455972192680799,6.060358251715314,0.8077585418758869,0.5372079327731357,0.5671234533567403,27.89031235911929,0.2631766273689463,0.2032057200759279,0.546155548596638,7550.739490939564,4170.513319000035,0.15031619123230625,0.23988362917207373,0.9637942706321346,0.8194738934149756,36.24255379200622
206,17,0.28878749842268225,1.0920458054892697,0.9334693872234432,1138,4,0.0767034902881986,7.6202041189834056,0.9903629632939387,0.41977724535534644,0.8093526147605488,5.905327447499682,0.26356276514462584,0.20385673755125455,0.543242894781382,7574.930066669441,4185.313400360178,0.15229876722377936,0.2388241103734852,0.9616551409184336,0.9040337085114143,35.523551374993986
131,10,0.5228870198296752,0.6722212127253935,0.9853919860288808,908,4,0.07004440549382301,6.998209170536301,0.9344192969304852,0.45713663100726976,0.6816923200811283,14.631790540919571,0.26389686690550096,0.20399133154898516,0.542639558731026,7579.9313245746225,4154.860426879507,0.1511252023719479,0.23962214142606308,0.9612924501611037,0.8452284185624122,35.78106983299949
150,15,0.4247059469823768,0.7779675554856347,0.9325098340898541,981,5,0.06176759276333409,7.320732338553439,0.9894530154357887,0.5384617270659652,0.006522041790690656,17.23591292541528,0.26437773542245335,0.2043430236569592,0.5410611709281856,7592.999536863819,4182.7536149824555,0.15179280169739678,0.24013884706197666,0.965097179819155,0.9148888745358742,58.506450041997596
148,14,0.2982516616019621,0.9939664054084889,0.8790503466149615,1098,3,0.034956420651886366,7.999338606783503,0.9643536330028937,0.42771971411852977,0.7253212354149663,11.094009877938259,0.2645343090743444,0.2041281212215749,0.5420259722557399,7585.01416959685,4153.284730285199,0.15096330250977216,0.24162475141107798,0.9719176750471364,0.8882093993627707,39.747078500004136
134,11,0.6305487004613762,0.5603375807250925,1.1185201110570466,663,4,0.04441771416433905,7.454197513730228,0.929173795843782,0.5752114119270741,0.562451816521352,11.506947801519761,0.26494107647363385,0.20418869718061317,0.5417541201258688,7587.265057445582,4130.665133680063,0.15047332679422762,0.24300951717208275,0.9780328539835124,0.7037496731212165,33.24681925000914
143,12,0.39963302740042084,0.5418269771907096,1.1650933434855113,1138,5,0.060338655827597586,7.6893561070517285,0.9967841454199037,0.6175711120596228,1.061609578851714,2.191908471952654,0.2652878307644897,0.2051876619561362,0.5372593435735022,7624.384695503904,4224.036836763103,0.15349167491680255,0.240400675233414,0.968788711568005,0.8773356591518947,32.26529662498797
244,11,0.36900039966268555,1.1370892015338427,0.7976304364504369,1050,3,0.027726988276469442,6.797380897346028,0.991371167376764,0.5014331376445534,2.042090295595281,8.36370054068973,0.26552825387368784,0.20461323440597715,0.539846623014574,7603.040056258273,4109.8965386438385,0.15023327092678826,0.24366007787084284,0.9788988270569656,0.7992324170286242,34.21689816699654
159,11,0.20623066073574847,1.6856998824078828,0.8058964820016348,997,5,0.025055816591042692,5.8945865454525315,0.9021824706563681,0.5856027743733007,0.01011423464296523,17.782816310115233,0.2655386140407539,0.20529407900410285,0.5367792341574995,7628.3389513501015,4166.284541312685,0.1529251571675582,0.2409781401466042,0.9695376152225439,0.9676284993435914,54.75486241700128
165,10,0.5043876865068793,0.51868032720066,1.1905526882600028,787,4,0.05292891586861235,2.3846338624328287,0.9087518136041061,0.5512827693575358,1.954267927073162,18.48141793103417,0.2663472328381845,0.20650014799287905,0.5313205548930207,7673.154189518335,4292.3074246440965,0.15415590981304703,0.23938833938122184,0.9585944191987193,0.8207267798187591,32.78486754199548
239,13,0.33228910643690934,0.8903812986206772,0.7509475447212202,1160,4,0.05163499779655741,6.759543367891025,0.9750377616585031,0.48086343708202356,0.42401314115429534,4.544830941985668,0.2663525649043224,0.20616147878533891,0.5328566035397446,7660.569883531362,4180.819917184275,0.15373587016106893,0.24076434447593392,0.9669287148262908,0.8968518271218051,43.13308645800862
182,13,0.6871690369480764,0.33348261941936475,1.1840592856767307,807,4,0.04760416680287153,3.1814334192473024,0.9920432401868683,0.5450724725161229,0.5710004597166911,22.52482782112047,0.26641165116354903,0.20565643887957155,0.5351425502721547,7641.803557664389,4181.558588320521,0.15240568369636678,0.24302084913590985,0.9779012013263231,0.8472168061480131,40.04071824999119
