Temperature,n,mae,rmse,nrmse_range,r2,median_ape_pct
30C,84,3494.0541826290187,7179.720663787065,0.19322085064377267,0.589660663334634,45.82831715810857
40C,84,4650.328274754411,8194.668583624465,0.2205351584857534,0.4654469095292971,46.7245847171924
50C,84,4390.911945238193,8277.911308445597,0.22277538910934433,0.4545316022343835,47.75682122275937
60C,84,4177.128692563701,7030.883778108295,0.18921534806160775,0.6064971387850511,59.07270600977645
