fold,feature_family,target,protocol,held_out_group,n,mae,rmse,nrmse_range,r2,median_ape_pct
1,combined,eff,held_out_repetition,1,56,3532.6669841506514,6771.306531621034,0.18222959767900423,0.6350166901257062,35.76995343225376
2,combined,eff,held_out_repetition,2,56,3273.499349996712,6581.7064867590725,0.17712707577517825,0.6551699713249017,33.473366966198135
3,combined,eff,held_out_repetition,3,56,2652.4807161423028,4821.917346444265,0.12976757941477984,0.8149165526603491,24.14014551994879
4,combined,eff,held_out_repetition,4,56,2948.3731298693324,5333.652496603212,0.14353941061104755,0.7735473069278949,23.592358853686846
5,combined,eff,held_out_repetition,5,56,3169.9646579648374,5942.2596964307695,0.15991826521631536,0.7189191148769352,38.30949483599837
6,combined,eff,held_out_repetition,6,56,3401.685812661698,6625.625351914378,0.1783090215474447,0.6505526058015552,29.96523914023851
