fold,feature_family,target,protocol,held_out_group,n,mae,rmse,nrmse_range,r2,median_ape_pct
1,thermal,eff,held_out_repetition,1,56,2928.7783270873283,6153.099513764639,0.16559239249264585,0.6986189549938864,26.089545466561226
2,thermal,eff,held_out_repetition,2,56,3687.8180500263547,6812.188419516074,0.18332981223120054,0.6305961989787592,33.2690878120409
3,thermal,eff,held_out_repetition,3,56,2189.750368767039,3933.465535928549,0.10585753853398357,0.8768374264474904,19.68578234474443
4,thermal,eff,held_out_repetition,4,56,1874.3918088951868,3396.334743434033,0.09140225907496197,0.9081775170705606,17.51957704250051
5,thermal,eff,held_out_repetition,5,56,3167.6322100712196,5465.17678959901,0.14707899619703665,0.7622412619698186,26.794585268562354
6,thermal,eff,held_out_repetition,6,56,3333.728277978888,6583.349874916553,0.17717130268491413,0.6549977484112698,28.26685916613736
