number,value,params_colsample_bytree,params_input_magnitude,params_leak_rate,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_res_size,params_spectral_radius,params_subsample,params_washout,user_attrs_duration_seconds,user_attrs_mean_fold_nrmse_training_range,user_attrs_objective_J,user_attrs_pooled_mae,user_attrs_pooled_nrmse_range,user_attrs_pooled_r2,user_attrs_pooled_rmse,user_attrs_prediction_range_coverage,user_attrs_sd_fold_nrmse_training_range,user_attrs_worst_fold_nrmse_training_range,state
0,0.28427699835424003,0.85,1.0,0.1,0.05,3,1.0,500,0.0001,1.0,20,0.9,0.85,0,143.99764666700503,0.16964762204876266,0.28427699835424003,4572.6340507867035,0.22031599833598292,0.46650882206079836,8186.525007759112,0.8425819508652256,0.2558440000730285,1.0453302644742242,COMPLETE
1,0.2812475433355382,0.9,1.0,0.3,0.03,4,0.5,800,1e-05,0.3,50,1.1,0.9,0,353.7529177079996,0.16554776413625927,0.2812475433355382,4427.174561751964,0.2172614800315126,0.48119919651017284,8073.024895760572,0.8701478513440775,0.25594425321610237,1.0454863114476625,COMPLETE
2,0.29049351261431827,0.5446620555599195,1.7541346645212776,0.5347070804948526,0.08117591758518575,6,2.805864209866754,605,2.303055354155433,21.262586533691977,53,1.0973313300467673,0.7142563365118473,3,338.22916854100185,0.1758689473385817,0.29049351261431827,4713.992358399134,0.22569061845337604,0.4401622420909821,8386.2357066215,0.7991288262665783,0.259211576643769,1.062201119609899,COMPLETE
3,0.2773047478237145,0.9382009702256318,1.739072123707654,0.32770317956728734,0.1167624256877035,3,1.1057929127091248,803,2.0561694171962883,0.140715509134958,51,1.3710002457938013,0.7881822557441351,5,305.0977833329962,0.1631067600149065,0.2773047478237145,4357.634288087622,0.21452639910414315,0.49417922962908367,7971.394471373465,0.726047479721508,0.25111339487828555,1.02153056779032,COMPLETE
4,0.29115341983702747,0.40224569461001386,0.32813306869226033,0.8246044028081914,0.019595423841921946,2,5.067883622266691,935,0.004103848391367383,0.014145808562966301,17,0.9552296714212435,0.8691469025317456,1,118.37965750000149,0.17044035852164321,0.29115341983702747,4617.400370525641,0.224916785526511,0.4439947291859302,8357.48154144305,0.7788521418027098,0.26494653724206585,1.0786730203827728,COMPLETE
5,0.2779474077215087,0.928783815029346,1.477074045702355,0.2889892621347669,0.12175792679005591,2,0.32130899171422184,265,0.0013371236581146446,9.733425888272643,30,0.6089585950739692,0.8901208653687834,2,167.66953533400374,0.16184831817851583,0.2779474077215087,4418.470180359242,0.2146149534601319,0.49376154791038784,7974.684983434883,0.7182713400532856,0.25332981704550733,1.0293553964501034,COMPLETE
6,0.28978771334663456,0.7921040155567369,0.5153624683279975,0.24816852203876277,0.05803247884235023,2,0.3782934710559287,414,0.0004521302243829868,0.016714849815395297,31,1.0927864096432374,0.9317537621305596,2,174.05291408298945,0.16830340786671222,0.28978771334663456,4602.008103684396,0.22371767733943293,0.4499074336569536,8312.924953475465,0.6993143911951214,0.2642801440288066,1.0726866718570458,COMPLETE
7,0.2838426590444927,0.4641463678662225,0.6777145047137225,0.2449329894541066,0.03177785659658285,6,7.524137888871763,657,0.00034855010603111145,3.025671859516072,14,0.3323945711559432,0.8551840478821253,1,114.0589372079994,0.16407617359252819,0.2838426590444927,4435.930193672999,0.2190912906508626,0.47242355135350933,8141.01719095435,0.6707683979476357,0.2590054735745203,1.0488300667165773,COMPLETE
8,0.283507825868238,0.635874473646062,0.7222533637349401,0.7625974566689393,0.06915031237128332,5,2.5885973254985113,213,0.03441895888064188,0.12909899351589266,39,0.4685642956704348,0.7349964211378814,0,235.7395062919968,0.16905446332246754,0.283507825868238,4577.668734635946,0.220201037161777,0.4670654295833494,8182.253268372656,0.6915217239195908,0.25322715482584385,1.0282352259371674,COMPLETE
9,0.28910628208910477,0.9550801464242866,0.28678846550340403,0.9317204590930128,0.0679217746455505,6,0.11644482980609651,1118,1.691997422579532e-05,3.116236719552828,41,1.053118693366834,0.755417751312593,3,373.45097325000097,0.16986998420003707,0.28910628208910477,4605.096641914713,0.22358237841425632,0.45057259725129606,8307.897501802201,0.6937409301157982,0.2620956146993938,1.0664313204193234,COMPLETE
