trial,optuna_trial_number,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,washout,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,objective_J,pooled_nrmse_range,pooled_r2,pooled_rmse,pooled_mae,mean_fold_nrmse_training_range,sd_fold_nrmse_training_range,worst_fold_nrmse_training_range,prediction_range_coverage,duration_seconds,performance_index
22,21,tpe,11,0.8166053734680376,0.3596943200709774,0.8265276809865134,1,860,2,0.04045687849775358,5.732179600110452,0.810476408862635,0.4629701351326639,0.015182122118455705,0.02105146717581522,0.270007688999222,0.20746996908091164,0.5269079424219951,7709.190903375688,4079.862569439745,0.1501244999901781,0.2501508796732414,1.0029734254047022,0.8385169967178752,77.723468599841,0.270007688999222
58,57,tpe,22,0.7417335413706643,0.28616943708952597,0.43543651595759436,1,829,4,0.05962302189684329,0.5730550884230995,0.9619151439169372,0.42622378585635584,0.03309619451980076,0.7169478749328431,0.27028070381334335,0.20848151860234748,0.5222834400826999,7746.778166744518,4224.064607064377,0.15566335116137994,0.24719674084398344,1.0006309618861369,0.8647409749440002,157.89199230005033,0.27028070381334335
37,36,tpe,13,0.6692919773286211,0.6556517848298999,0.8091084698162924,1,934,2,0.023841339265583482,0.7382246812131964,0.9838501930698155,0.5618653677850167,0.25755487808309396,0.21696148969339,0.2714690897631609,0.20830006230735398,0.523114659594917,7740.035594675312,4112.232693006605,0.14942991265193464,0.25267610982322775,1.0114791500923295,0.9432108382884783,89.16267920006067,0.2714690897631609
62,61,tpe,25,0.8029479775262015,0.7767920499210657,0.7074266992410295,1,898,3,0.08228670757390141,1.2591762128653723,0.9974965949540822,0.7875079391256479,0.8850681821675074,0.08424783394120115,0.27150414552983704,0.20993821474332078,0.5155843425515376,7800.906234959511,4236.586233994499,0.1574786093400687,0.24626372314606496,0.9946209398673254,0.885823205604525,125.31981999985874,0.27150414552983704
79,78,tpe,22,0.8392491215289613,1.0914337630307278,0.40531753988114505,2,1048,3,0.19290367483161264,0.15404361204774716,0.9704813018313246,0.482033205592203,0.3707929923152201,2.470860091812382,0.2717758270621596,0.2101032361331138,0.5148224959003433,7807.038117094985,4233.671228934688,0.15755735174153443,0.2466903637161832,0.9966120388913577,0.8271249615642985,116.01532940007746,0.2717758270621596
77,76,tpe,22,0.7978667293920071,1.0165296136936386,0.3510335580562233,2,1077,2,0.10629975919352568,0.33918175023347796,0.9814144522225501,0.5183125517852052,0.3212081777338628,0.47082782585766425,0.2719987446965775,0.2100078592005592,0.5152628911999572,7803.494091016902,4266.122436804515,0.1561092806578473,0.24796354198407314,0.9991956490054913,0.9354676715391187,130.15776840015315,0.2719987446965775
8,7,startup_or_anchor,14,0.24493298945410658,0.6777145047137225,0.3323945711559432,1,657,6,0.03177785659658285,7.524137888871763,0.8551840478821253,0.4641463678662225,0.00034855010603111145,3.0256718595160716,0.27226288232604495,0.2100077426915363,0.5152634290486973,7803.489761762391,4269.169820833951,0.15518413350830632,0.24902055853803454,1.0020319915168423,0.8651961095503888,140.13560610008426,0.27226288232604495
44,43,tpe,24,0.7622655801920624,0.6833787330716689,0.5141140188679099,1,1002,2,0.04508385490979617,0.8155091906474282,0.9808318601232404,0.643067260009066,0.5283542541904107,0.06244456261287135,0.27291001656719915,0.20989797869729454,0.5157700076809291,7799.411139734946,4206.769539308182,0.15403856333027166,0.25204815147961834,1.0163537927623563,0.9533164878138028,136.25529290013947,0.27291001656719915
74,73,tpe,38,0.7919693011363148,0.8543802816688547,0.4908695443367157,1,1070,2,0.08999379532345558,0.36410629660875615,0.9455817254639657,0.5787014278475274,1.951523433801329,0.05421118450115854,0.2735434549392219,0.21129822324383318,0.5092877915257263,7851.441573674362,4262.8118267585505,0.1566640450703108,0.2489809267815549,1.0008152048697576,0.8243818153471576,186.68334529991262,0.2735434549392219
48,47,tpe,27,0.6056431194660148,0.3536506076916319,0.5544485772835389,1,797,3,0.034300008736614866,0.6016991176115183,0.9862935950225329,0.42818948672219825,0.13471767148924102,1.3427211430399126,0.27393412874295797,0.21108819020615438,0.5102628546366685,7843.637143998806,4257.759951625898,0.15632507025649564,0.2513837541472145,1.0148717439002455,0.8782146083810459,165.1025904000271,0.27393412874295797
