fold,held_out_material,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
1,aluminum,24,8266.15450536645,9406.466629458127,0.2531471026252261,-8010.363403270858,37.08740860414182
2,bismuth,24,8473.54933990926,9193.845363412422,0.24742503294951848,8473.54933990926,286.75222088574765
3,cement,24,960.2938409335217,1504.3522250241117,0.04048517069098494,856.1887336620017,42.13738446961838
4,copper,24,24589.332554934266,24963.78460237917,1.0434795092679314,-24589.332554934266,66.09758012378633
5,cork,24,120.86705939431663,152.5305236108025,0.004104905873270251,80.63496817664385,76.17642725271642
6,graphite,24,3074.8985364958594,3902.7867309014473,0.10503190964371636,396.1063356499405,26.949960561641383
7,gypsum,24,981.1848040070394,1658.9899287408678,0.04464678505635371,916.300548914176,46.155709626240494
8,iron,24,4258.605597731332,5382.976780778297,0.1448668271766773,307.8222437279255,19.86398768945396
9,nickel,24,5872.765043652358,7053.775703007785,0.18983141620813918,-5828.087546806953,28.1843967807718
10,pdms,24,229.54413356135342,247.69973203469888,0.006666102369327291,-229.54413356135342,48.89276756914602
11,ps_foam,24,73.58741942081615,109.06321030084678,0.0029357443859510937,72.46645861109612,81.44324408462388
12,pu_foam,24,118.14340987566054,261.4523939419572,0.0070362144052647764,118.14340987566054,158.48985610214584
13,titanium,24,5535.739898580673,6423.21211134825,0.17286167054937393,4766.308092601641,72.79771058453288
14,wood,24,897.5415722682052,1708.2747618959236,0.04597313991498874,616.7727563929878,66.29850357705776
