fold,feature_family,target,protocol,held_out_group,n,mae,rmse,nrmse_range,r2,median_ape_pct
1,combined,eff,held_out_temperature,30C,84,8359.22356193266,13862.853137526898,0.3730775055209141,-0.5297952257064531,92.25488780145446
2,combined,eff,held_out_temperature,40C,84,6105.2757338347665,11075.484470016923,0.29806375913513283,0.023542104516834805,57.11695193292143
3,combined,eff,held_out_temperature,50C,84,4393.877839620834,7807.426429886413,0.21011368641821387,0.5147742303959255,48.48328085231593
4,combined,eff,held_out_temperature,60C,84,9839.04577079752,12187.408340279964,0.3279878865662989,-0.18236286555376013,400.5603092731981
