trial,optuna_trial_number,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,washout,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,objective_J,pooled_nrmse_range,pooled_r2,pooled_rmse,pooled_mae,mean_fold_nrmse_training_range,sd_fold_nrmse_training_range,worst_fold_nrmse_training_range,prediction_range_coverage,duration_seconds,performance_index
28,27,tpe,22,0.3619913863605622,1.5830477110985428,1.1601799988146444,3,335,5,0.09771153159178274,0.15727598420907452,0.7196680887124353,0.49528323516244327,1.6576416252465824e-06,0.564496432729644,0.2584439471620702,0.1986861255682377,0.5661193775051601,7382.7999234928475,3994.1971980979074,0.1494660094004203,0.23903128637532994,0.9779967146345977,0.8111501941320408,149.3188811660002,0.2584439471620702
17,16,startup_or_anchor,22,0.576304944026153,0.9305048393971361,1.2514105491241228,1,531,6,0.023723263009667487,6.3103479629629184,0.8504712725740328,0.7456238989205893,0.025284160305374333,0.30804884965454593,0.2594916963972198,0.19962716295309627,0.5619996656118547,7417.767089484272,4058.293013116665,0.1508522048517347,0.23945813377649405,0.9809959762789328,0.7975762150339076,173.28236749999633,0.2594916963972198
74,73,tpe,72,0.6364338647749387,1.0679400796494396,1.2018180731950912,4,398,3,0.05309477429625373,0.3472445479840057,0.6849421260485997,0.4319946884503916,0.0006589853686943314,1.0183942780347925,0.26024998637494806,0.19894113061098195,0.5650049287904839,7392.275427656403,3921.917292052192,0.1455609580377459,0.24523542305586435,0.9991729958075422,0.7964929672910488,450.1496243750007,0.26024998637494806
58,57,tpe,31,0.13236959541925075,1.9348881269861682,1.3631202965931462,1,239,6,0.14960468107196143,0.5260231558352269,0.6981300043614291,0.6291354686803197,6.196143374386523e-06,0.5482956479964464,0.26154992178768566,0.20194041391071718,0.5517898813993152,7503.723111547212,4136.456486385389,0.15083957985348045,0.23843803150787396,0.96353117095954,0.8169646894528587,187.67881900000066,0.26154992178768566
96,95,tpe,17,0.338527300554265,1.8101856585584246,1.3518054324097584,4,642,3,0.17058249409171275,0.1216570288722187,0.7170530119259709,0.599139071796028,2.8403969581477472e-05,2.193455311188257,0.26185931548337243,0.20127480743122458,0.5547396614349636,7478.990436068136,4039.0330926839893,0.14956890098749875,0.24233803220859135,0.9851486266528497,0.7825085678710981,114.63931216699712,0.26185931548337243
48,47,tpe,64,0.6721327296763935,1.3826709584898982,1.250551688018414,4,259,4,0.08122931283443524,0.3583290948587321,0.6894311116294056,0.4032429130293159,6.996127034877572e-06,0.18611859916455065,0.2627166165893884,0.20200896355418138,0.5514855355970463,7506.2702863993845,4080.70364289766,0.1511058125691394,0.24283061214082804,0.9900518679754962,0.853579301007917,356.07071541700134,0.2627166165893884
43,42,tpe,53,0.5644225044719061,1.105009534338257,0.9440947406952187,4,369,5,0.08267565785834677,0.10698447103245798,0.6767792981995637,0.4574814644101458,1.025092562456751e-06,0.14891799088550642,0.2630959525310817,0.20196303432461737,0.5516894630031628,7504.563643262923,4055.5604843245883,0.14988642419751205,0.24453167282585728,0.9958382770087675,0.7878989307323782,334.6132920839955,0.2630959525310817
38,37,tpe,42,0.45444541344405387,1.4756769704005421,1.423098870901094,4,465,4,0.12508770808963476,0.38931570358596573,0.7236446624045387,0.40840933365686494,4.5754273492324846e-06,0.07586556408347483,0.2636819941492529,0.20309554849066921,0.5466475348286508,7546.6457236023,4117.4147332335315,0.15395398293574242,0.24234578263433476,0.9923852925045343,0.7894167777925649,256.75479266699404,0.2636819941492529
52,51,tpe,21,0.24124762828237836,1.9863164299896527,1.2159091078815911,2,375,6,0.16308445478469225,0.12366072426098426,0.709845090300442,0.4237867605975594,6.025216129116354e-06,0.1186350610519878,0.26429981859579355,0.20381562403213058,0.5434271123702308,7573.402366207342,4109.1739998825915,0.15334194766049838,0.2419367782546518,0.984168977038355,0.8942883724958793,132.56384479200642,0.26429981859579355
98,97,tpe,35,0.27734363927718664,1.737714111861963,1.3699527474817914,3,616,2,0.19897596376583038,0.10128408912476304,0.7691821822498127,0.43518731530789256,2.884283893840586e-05,1.5750979101251918,0.2643321349310029,0.20365240860109268,0.5441580661754295,7567.337590076985,4135.493189148485,0.15162098437234944,0.24271890531964072,0.9832055988690998,0.9997846854113734,210.74858287500683,0.2643321349310029
