fold,feature_family,target,protocol,held_out_group,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
1,thermal,eff,held_out_material,aluminum,24,6866.254745454549,8379.835626244043,0.2255183793047197,-5815.41186518492,23.740577276262446
2,thermal,eff,held_out_material,bismuth,24,6557.877395133834,7483.7336025449395,0.2014024556649526,6541.041161198322,170.62018148743596
3,thermal,eff,held_out_material,cement,24,217.7264227383532,247.3210654994925,0.006655911684554283,-20.0109631967221,35.323506374496475
4,thermal,eff,held_out_material,copper,24,22947.35753357196,23372.979474022966,0.9769842810355968,-22947.35753357196,62.56678034342994
5,thermal,eff,held_out_material,cork,24,164.3749869421292,197.43388611716793,0.005313346466788993,99.35904478991422,81.04985169901946
6,thermal,eff,held_out_material,graphite,24,4864.596083477113,6136.7748478486055,0.16515306261026189,-784.5272194444606,33.62860572952398
7,thermal,eff,held_out_material,gypsum,24,158.75981694003073,186.25400843444302,0.005012473274487107,137.0469522904375,36.3422875171741
8,thermal,eff,held_out_material,iron,24,5080.923916028222,6141.408258626234,0.16527775709543188,274.207863845113,27.534687878669306
9,thermal,eff,held_out_material,nickel,24,5374.342902630803,6329.429068118917,0.17033777857121787,-1023.2962870413272,23.324452349294795
10,thermal,eff,held_out_material,pdms,24,213.32655657124232,244.86425870471254,0.006589794028870393,-196.6495088512704,55.681861865204986
11,thermal,eff,held_out_material,ps_foam,24,108.25971606155262,164.88588917005842,0.004438369475080407,108.25971606155262,98.21022911487867
12,thermal,eff,held_out_material,pu_foam,24,93.3988140178988,133.9054564031499,0.0036036675246376394,93.11788033210178,162.9318623777817
13,thermal,eff,held_out_material,titanium,24,5675.418424517976,7103.342469972215,0.19116535847762536,4560.070508169675,65.720861174917
14,thermal,eff,held_out_material,wood,24,955.7322590474126,1862.203729492539,0.05011568075334605,659.5218791715624,50.79954251333646
