outer_fold,held_out_material,res_size,leak_rate,input_magnitude,spectral_radius,washout,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
1,aluminum,22,0.7506998656376592,1.7630023032893565,1.1864962664266194,1,536,3,0.035526223326561995,7.542675759023076,0.8960224292973136,0.38448527955452105,2.45521015918722,35.0450648611629,24,7407.464843700545,7988.012305385202,0.21497361873481763,-7407.464843700545,31.458855251073658
2,bismuth,35,0.8476848255389203,1.2556627970834995,1.413344617930153,1,104,3,0.011887190907832202,4.453150436057857,0.7121542910872825,0.3179977551953288,0.07876236317087461,20.32452748256929,24,2543.706035278658,2932.7779143316443,0.07892700425165679,2451.799880748561,86.76522360782111
3,cement,72,0.31435386612593086,0.6268064019094712,1.0426645225124893,3,594,2,0.09922175994491572,2.6032953533425154,0.7328254960579604,0.6692207436989153,0.01046196122280532,27.555905724228285,24,1221.8658330097383,2324.2934954975776,0.06255145393204523,1071.1091984955792,38.89697802740078
4,copper,53,0.1476210670768739,0.5563715333387322,1.2123411038648004,0,584,2,0.13956740559875594,2.3960442573056167,0.7215676573258281,0.6511273718834695,0.005464416962268174,88.87914818768125,24,23604.19209269468,24072.12474736298,1.0062083661794137,-23604.19209269468,59.8926133120253
5,cork,48,0.24158596947797,1.8148652674823336,1.4895766780714386,2,569,3,0.1356412609258027,2.7944849782142898,0.9181291661277684,0.6332543906178549,0.0001942000845124222,11.49393022116001,24,133.18715478005598,162.84286675435402,0.004382431950904098,92.13462941844118,75.58493899431726
6,graphite,42,0.5333046585227815,1.8766485260127144,1.105897567704861,2,369,3,0.13221774880928872,5.200614420113209,0.9563986562489063,0.7321848433525975,0.15215906929008305,0.1402055300953402,24,3295.258288168227,4162.763367584501,0.11202840842684736,-744.9987584120172,21.600595294044183
7,gypsum,41,0.6950669629988114,1.9489638042834845,1.397071213960906,4,209,2,0.06424265577204959,5.888675729071521,0.8182601610165963,0.5469999136179279,0.03948147192201631,0.12191477605467531,24,1079.4824869968995,1624.6181876456797,0.04372177176356403,979.5169853002844,141.1355216689725
8,iron,32,0.4664898643412389,0.8252908266967921,1.401983478022576,1,598,2,0.0289434431841196,3.6539594691513577,0.6311970486061914,0.9457918135213847,4.222611242720708,3.871979141277445,24,3662.141051987423,4596.216958464118,0.12369352403040915,1948.2085148867798,21.879742323987923
9,nickel,79,0.21377998848840934,0.7197548184065188,0.8764062609000232,3,514,2,0.011292117597341186,3.8470208676323625,0.7999034688407125,0.9916087237237066,0.3073215831709697,0.29278055381899437,24,5507.210925813816,6193.826376059311,0.16668843499139085,-5489.101245808689,29.192674476288715
10,pdms,51,0.898765239548101,1.0718531762268673,0.5008557576265845,1,234,2,0.07957593728039235,1.019254610743061,0.726157087267884,0.39137495584477655,0.05853419412151606,9.499984105648824,24,196.19371954537982,226.65145930231964,0.006099650643364564,-192.07475440121416,42.18564751361602
11,ps_foam,14,0.6563722967444701,1.7023446346824085,0.9831490289408733,1,128,2,0.12750329267007812,3.5160825829686924,0.770254664145285,0.3312910899003746,0.7240613796303794,21.396102244172006,24,151.25303378991347,199.54433369290606,0.005371299412252423,151.25303378991347,370.78687608794974
12,pu_foam,13,0.23819812395438034,0.6855375910653349,0.4744756688708949,4,533,4,0.013497577204907362,5.87056442155723,0.679408435595912,0.836113583843465,0.03366762914239744,0.5545025960341713,24,175.30145145882773,240.6394223790165,0.006476095111195354,175.30145145882773,249.80325841810784
13,titanium,70,0.2533533421960974,1.8951233500586324,1.4625483245992705,3,156,3,0.01116146032628713,7.30447436099732,0.7589571730479011,0.869833240228133,0.11950527256575463,49.4056919899364,24,1084.408422732504,1532.5817481346453,0.04124488443530883,-800.8439137595782,9.092277849311396
14,wood,29,0.7826026212149592,1.061135556511853,0.5107377443045331,0,102,1,0.01004411822010539,12.304421145008195,0.6299029051305937,0.3081374419618988,0.25681449357507163,26.77553527150357,24,876.5664666777508,1536.1957133935575,0.04134214357312545,876.5664666777508,54.41602662739042
