trial,optuna_trial_number,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,objective_J,pooled_nrmse_range,pooled_r2,pooled_rmse,pooled_mae,mean_fold_nrmse_training_range,sd_fold_nrmse_training_range,worst_fold_nrmse_training_range,prediction_range_coverage,duration_seconds,performance_index
96,95,tpe,10,0.6946377960167112,1.6495680356466318,0.7604674118595436,417,5,0.05902664355935255,6.789451831925575,0.894777681426182,0.4531911880987879,0.027656783476788523,0.03548382994774278,0.26809168238450476,0.20700324586026098,0.5290340784708412,7691.848352918995,4178.105773796332,0.1533392756085166,0.24435374609697502,0.9825275151061218,0.9576852523179994,27.156717208999908,0.26809168238450476
71,70,tpe,15,0.4392132200658989,0.9074426430603377,0.724698616490276,638,6,0.024148670077814245,6.649164922209469,0.8893596382481342,0.5131618728366241,0.1511991735122426,0.08550624212452912,0.26825866520514835,0.2079626893765159,0.524658182069152,7727.499455874193,4290.856789529747,0.15651921577465458,0.2411839033145297,0.9708753142912409,0.9534964966291277,50.34621254100057,0.26825866520514835
79,78,tpe,12,0.30841820645935536,1.308643761498794,0.7266701530263381,466,6,0.023821713078781327,6.942268823073585,0.8885464914915334,0.6203419846332856,0.0615922049049321,0.05113233896079019,0.26875660015371605,0.20800242730485266,0.5244765061749178,7728.97604198933,4264.547193241099,0.15529381286608918,0.24301669139545368,0.97687631380323,0.9512603207719822,37.503542957998434,0.26875660015371605
88,87,tpe,16,0.4854515477004557,1.5616753040322184,0.8210081846458323,399,6,0.02567124397730185,7.29851533216886,0.967396244909027,0.7081844083574677,0.11202977279176098,0.06338033457839563,0.26958536119853804,0.20973015476349283,0.5165440303257476,7793.175120374822,4404.966376757466,0.15922405319693195,0.23942082574018098,0.9618241149724752,0.9795331242694691,40.797111291001784,0.26958536119853804
91,90,tpe,14,0.5417543048639475,1.6817962712358454,0.7927326315275598,303,5,0.042231714387204106,9.812084151386914,0.9626404752071509,0.569260405383311,0.03732615607094349,0.07869056876694915,0.2698781223791902,0.20906777996667034,0.5195929325927562,7768.562528099852,4321.366257790115,0.15727246388306199,0.24324136965007945,0.9803385257374652,0.9796378625989717,26.267545874998177,0.2698781223791902
70,69,tpe,11,0.5715795677126688,0.9369981132223171,0.7012958568700787,518,5,0.02046744114810771,6.013951557835074,0.8151930463102217,0.5371372776373491,0.31880825996668116,0.38551577457731584,0.2699192292099696,0.2083037049794021,0.5230979802711607,7740.170949465895,4245.461444861207,0.15387955944808493,0.24646209692226984,0.9905347913295175,0.9101759898070899,33.310788999999204,0.2699192292099696
94,93,tpe,16,0.4344871884406902,0.921618459920769,0.707804203425003,711,6,0.021919512597032866,7.619471311393716,0.9088657917568598,0.5946701642412505,0.3102524621383793,0.043554352218854085,0.2700502390905757,0.20987838172642895,0.5158604230162578,7798.682953433093,4375.490650899994,0.1587579646948767,0.24068742945658697,0.9667551334715951,0.9637291053285141,59.556110292000085,0.2700502390905757
85,84,tpe,11,0.4349160626781356,0.36069987337304477,0.8490165423898807,645,6,0.018477846128078113,2.6677601011964405,0.8821266842925828,0.41487752404666567,0.3348960034608806,1.8027898867982173,0.27054331839831885,0.2093241964902132,0.5184137948853313,7778.090480215181,4314.252081697093,0.15660978373275575,0.24487648763242265,0.9862096112025293,0.9284454567913462,52.31764425000074,0.27054331839831885
82,81,tpe,14,0.4741160297538398,0.3839869801079351,0.7858103468437722,800,5,0.02805740880749182,4.150594538413163,0.8929653739021927,0.6976265656325549,1.8110526599433414,0.533660254186065,0.27064424018803257,0.2100641909500068,0.5150028080610857,7805.587272079861,4341.66934424542,0.15802280040988453,0.2423201969521031,0.972645271381717,0.851509257206369,47.18252937500074,0.27064424018803257
99,98,tpe,10,0.6158922817716828,0.4291614250661966,0.7755094867131834,583,5,0.040259375957770814,7.915444962842849,0.9724837375888759,0.4163101949959859,0.00011199412189128229,0.026181815350005758,0.27071694475248603,0.20970807610283432,0.5166458134810719,7792.354719182971,4278.871469830426,0.15762268427115372,0.24403547459860678,0.9831285025123716,0.9499486734090697,33.52342341699841,0.27071694475248603
77,76,tpe,10,0.6344281094270657,0.4242057004305651,0.7929116247841862,530,5,0.040484856725804555,7.806569085865496,0.9394060538050732,0.40970969882281844,0.04742423456564916,0.017807225033834723,0.2708114903594604,0.20943968804134502,0.517882232053261,7782.381927403159,4283.030276941189,0.15615380864659897,0.24548720927246143,0.9875240997913036,0.9692986675447938,32.47005383299984,0.2708114903594604
72,71,tpe,15,0.4965046138902717,1.1170603938866785,0.7342168348857345,812,5,0.031023689545769735,6.846435123895615,0.8292734424498807,0.5693407595126406,0.038461611844872595,0.6404180507413442,0.2710758073538314,0.20994457851510023,0.5155549743165393,7801.14270065973,4300.803335308701,0.15736587628654727,0.24452491535492477,0.983845519570771,0.969794824362583,51.0957144999993,0.2710758073538314
75,74,tpe,12,0.42314545078736887,0.7374748800026097,0.7894466484737287,737,6,0.02456476429154728,6.794000189196095,0.9480817168482092,0.49327917370462376,2.5109818810418285,0.05942221770312567,0.27114145794776634,0.2101261155894146,0.5147168221171664,7807.888274335427,4344.34179142979,0.1565271252606952,0.24406136943340703,0.9769428595438241,0.7735047448167581,40.69788795800196,0.27114145794776634
64,63,tpe,15,0.6405275403173887,0.3504702098375714,0.7455396111917453,472,5,0.016463353023524255,3.0684673274167595,0.7763911643411029,0.670407352360791,0.16779000090102814,0.05802182868779189,0.2715034252710044,0.21072231144715428,0.5119591042354781,7830.041782640643,4383.023174537663,0.15877498562168296,0.2431244552954005,0.9769599429015915,0.9614564276169574,41.0209513339978,0.2715034252710044
18,17,startup_or_anchor,10,0.24593643088582218,0.5533574945732763,0.992391635570085,589,5,0.0257493968443029,0.4594540211249762,0.9624730821282775,0.5061834701825624,0.6754322127583999,0.9808629966115734,0.2717156139539296,0.210259957598084,0.514098412922162,7812.861589752084,4322.549887352886,0.15743707102133112,0.24582262542338243,0.9902196279225924,0.9294241062451112,38.24038662500243,0.2717156139539296
