trial,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,washout,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_inner_nrmse,sd_inner_nrmse,mean_inner_r2,performance_index
41,expected_improvement,31,0.34589079153647223,0.7334664809941135,1.2248672182050648,4,103,3,0.01046323854801849,8.493269561277883,0.7280329788528515,0.9792193752676961,0.003630235206884938,69.85658977768485,1.550711951137797,1.8415785978272126,-32.588458090944826,2.0111066005946
46,expected_improvement,66,0.08835637499333736,1.1954424911066264,1.252953511888839,2,103,2,0.011003741043309619,7.023647989637644,0.6302498127500323,0.6040441517015889,0.001687406021926037,68.22211340829382,1.59150982460692,1.9070098568358358,-34.74885306264222,2.068262288815879
9,random_initialization,64,0.12990664813600816,1.0747952407770867,1.0483741399062527,3,105,2,0.010150952498503292,9.562591452952176,0.6913038448383438,0.4107381569197386,0.07654533558323316,50.044237094355395,1.6183353516207657,1.9666485216504244,-36.58126369251332,2.109997482033372
48,expected_improvement,20,0.4511075672140938,0.32552400079387744,0.3472114574372154,4,109,4,0.0165073664938941,5.418834004555868,0.6708872785620267,0.7725813434454771,0.0001459819356806278,70.86217059338736,1.615985124013944,2.00353665109984,-37.37750551790903,2.116869286788904
44,expected_improvement,17,0.7028000985011682,0.9615150633698096,0.49105405133234886,4,105,2,0.010851736516614552,8.47842921814492,0.6514996048447232,0.47385542107507894,0.00023361593741314787,16.116597609557658,1.6384331676691253,2.0407247535539326,-38.669361258600524,2.1486143560576085
25,expected_improvement,67,0.23427069979352805,1.0378524538406708,1.0192986619892772,3,141,3,0.010168640546279384,5.880318109294903,0.6767299012737616,0.3534803658339782,0.0016075848037168216,44.42807716590388,1.6704956270131557,2.1082406061155203,-40.90312554973744,2.1975557785420357
5,random_initialization,25,0.26086084827572703,1.0889887240721112,1.4454615868954506,3,270,2,0.08487764937085521,1.2220840669313953,0.7155804493588265,0.8231023450919219,0.00015082349661745158,65.49916562729541,1.670277919277104,2.264237705060323,-44.8130366992356,2.236337345542185
49,expected_improvement,32,0.4817317567878381,0.5135106155271604,0.594541338202976,3,111,3,0.011508375181795606,1.737422912946844,0.9121808642563747,0.8831654669142048,0.00010677174108593249,45.033936429042484,1.7770654113742241,2.2799475838688408,-47.3866040389741,2.347052307341434
35,expected_improvement,26,0.31836900686054037,1.5709488169984627,1.3370921154282815,4,358,3,0.1361264044540117,1.1278806937585246,0.8587822551256208,0.38667224957134105,0.0010445168904865648,90.86660824779467,1.8307824547460707,2.5387863855122808,-55.68998081327062,2.4654790511241407
45,expected_improvement,52,0.4831754897012404,1.4793866042294037,0.8774295071819873,3,156,2,0.010575634898390932,13.387552891019828,0.8503279067628453,0.9287394604345929,0.00039039371582690865,32.9139924576554,1.8640849487438789,2.4777941375520056,-54.655921929103854,2.4835334831318803
