fold,feature_family,target,protocol,held_out_group,n,mae,rmse,nrmse_range,r2,median_ape_pct
1,esn,eff,held_out_repetition,1,56,3010.9096432822075,6185.942613995801,0.16647626695818762,0.6953930345771095,28.88349120138198
2,esn,eff,held_out_repetition,2,56,3851.5741837337896,7371.750659928655,0.19838876746688028,0.56741711656168,35.802636346925865
3,esn,eff,held_out_repetition,3,56,3001.673476379345,6160.018275672256,0.1657785904136784,0.6979408070080757,24.473925206334773
4,esn,eff,held_out_repetition,4,56,2492.712723322191,4464.176190107737,0.12014003904454341,0.841360727311905,28.095167693374478
5,esn,eff,held_out_repetition,5,56,2786.6050564714387,5662.445315665624,0.15238789248935136,0.7447674272020969,31.752542754607116
6,esn,eff,held_out_repetition,6,56,2656.7649179239365,5364.887543792591,0.14438000910651141,0.7708872266744817,24.60048744842405
