trial_id,Sample,Temperature,Trial,reservoir_seed,P_peak_to_peak,P_net_change,dPdt_max_abs,dPdt_abs_auc,state_mean_rms,state_temporal_variability,state_mean_abs,state_path_length,state_saturation_fraction
30C__aluminum_trial_1,aluminum,30C,1,42,3.1395804195813058e-06,-3.1395804195813058e-06,3.4746940384686364e-06,3.139575489398058e-06,0.3502676710581886,0.040928460248903106,0.2816756418388263,1.0077368500809643,0.0
30C__aluminum_trial_1,aluminum,30C,1,43,3.1395804195813058e-06,-3.1395804195813058e-06,3.4746940384686364e-06,3.139575489398058e-06,0.5366902660875309,0.05394924017293753,0.45281035871514425,1.017851467277694,0.0
30C__aluminum_trial_1,aluminum,30C,1,44,3.1395804195813058e-06,-3.1395804195813058e-06,3.4746940384686364e-06,3.139575489398058e-06,0.5475479873318867,0.06041962089063376,0.5211435495420074,1.2195462326343098,0.0
30C__aluminum_trial_2,aluminum,30C,2,42,3.1844755244760667e-06,-3.1844755244760667e-06,3.5880086300261042e-06,3.184490464645645e-06,0.3502676726097818,0.04092847084461453,0.2816756447193447,1.0077371951259082,0.0
30C__aluminum_trial_2,aluminum,30C,2,43,3.1844755244760667e-06,-3.1844755244760667e-06,3.5880086300261042e-06,3.184490464645645e-06,0.5366902695041544,0.05394924432576502,0.4528103630585961,1.0178515818435199,0.0
30C__aluminum_trial_2,aluminum,30C,2,44,3.1844755244760667e-06,-3.1844755244760667e-06,3.5880086300261042e-06,3.184490464645645e-06,0.5475479864966399,0.060419619714867256,0.5211435492484986,1.2195464171531372,0.0
30C__aluminum_trial_3,aluminum,30C,3,42,3.1507692307700596e-06,-3.1507692307700596e-06,3.427972027972244e-06,3.1507443999713744e-06,0.3502974119488293,0.040321091837803635,0.28160244106512927,1.0077379500349541,0.0
30C__aluminum_trial_3,aluminum,30C,3,43,3.1507692307700596e-06,-3.1507692307700596e-06,3.427972027972244e-06,3.1507443999713744e-06,0.5370914269333785,0.05318576641178565,0.45302935933484256,1.017851483977689,0.0
30C__aluminum_trial_3,aluminum,30C,3,44,3.1507692307700596e-06,-3.1507692307700596e-06,3.427972027972244e-06,3.1507443999713744e-06,0.5479302620575709,0.05951382464983558,0.5215001686906022,1.2195463626446328,0.0
30C__aluminum_trial_4,aluminum,30C,4,42,3.113846153846977e-06,-3.113846153846977e-06,3.0958041958039674e-06,3.1138475711142216e-06,0.3502974049967503,0.04032100899747475,0.28160243000608703,1.0077370288033156,0.0
