fold,feature_family,target,protocol,held_out_group,n,mae,rmse,nrmse_range,r2,median_ape_pct
1,thermal,eff,held_out_temperature,30C,84,8413.20316750268,13922.680184119037,0.3746875727331865,-0.5430278005096163,92.07041318487276
2,thermal,eff,held_out_temperature,40C,84,6009.5918772138175,10833.026654429908,0.29153872737320863,0.06582620624670488,65.2191350210882
3,thermal,eff,held_out_temperature,50C,84,4831.947162511198,8661.893976047331,0.23310914179149084,0.4027532659375269,52.80644345581686
4,thermal,eff,held_out_temperature,60C,84,4743.708893809278,7502.391361994165,0.20190457382813817,0.5519489626040623,112.7396375456724
