fold,feature_family,target,protocol,held_out_group,n,mae,rmse,nrmse_range,r2,median_ape_pct
1,esn,eff,held_out_temperature,30C,84,8404.329397216121,13915.272404186326,0.374488214344886,-0.5413862531407583,93.0216178686178
2,esn,eff,held_out_temperature,40C,84,7931.752435020615,13328.562401571873,0.3586986577458165,-0.4141473879347126,88.1704978518942
3,esn,eff,held_out_temperature,50C,84,5786.835121180348,10414.872293446235,0.2802853450881308,0.13655246395975296,70.11930509418735
4,esn,eff,held_out_temperature,60C,84,6187.204679710584,8962.065880625663,0.24118737678947944,0.36064168050430023,170.0804451863819
