outer_fold,held_out_material,trial,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,washout,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_inner_nrmse,sd_inner_nrmse,mean_inner_r2,performance_index
1,aluminum,41,expected_improvement,22,0.7506998656376592,1.7630023032893565,1.1864962664266194,1,536,3,0.035526223326561995,7.542675759023076,0.8960224292973136,0.38448527955452105,2.45521015918722,35.0450648611629,1.684377525351221,2.295390047318783,-45.90111498794147,2.2582250371809165
1,aluminum,28,expected_improvement,34,0.059620990169912236,1.9773667487610533,0.47777854993804975,4,163,3,0.06942060629442938,1.464445999700961,0.7984385997631545,0.7295389882480539,0.0006958680407521433,2.9207610183526533,1.704415826594089,2.3092660242841436,-46.665037345304036,2.2817323326651247
1,aluminum,45,expected_improvement,14,0.7236903733973473,1.9360614100078943,1.2586923204272042,1,299,3,0.0315059273242275,1.129642103408604,0.8253899428980634,0.3109425548384419,4.982182822007387,24.5040843423914,1.7300271593643042,2.321575195225385,-47.505276037419016,2.3104209581706505
1,aluminum,18,expected_improvement,52,0.3269137441629609,1.9752114856591765,0.5867206074672346,4,118,3,0.011876448283847952,2.1401071396781166,0.6287332028863015,0.7918676840280885,0.0001355240246931832,0.3168685386418283,1.8015025490022325,2.4331619340375537,-52.032542179456335,2.409793032511621
1,aluminum,5,random_initialization,50,0.3066624286075803,1.4219567530472257,0.5460509823716979,4,573,3,0.015593340469512369,1.5957677007372617,0.9551009381429107,0.7509591414510408,0.0003312772638739824,36.74135068061802,1.8404422917204282,2.5386374112500523,-55.8864584950356,2.4751016445329412
1,aluminum,26,expected_improvement,54,0.2662447855449035,0.6376822568323649,0.363743866901027,4,373,3,0.01523587754747772,4.938176866096668,0.9126976759383022,0.6492082928393932,0.023358075536319956,0.5272370589646295,1.892296137284823,2.626715796228094,-59.636934583250834,2.5489750863418466
1,aluminum,19,expected_improvement,38,0.415144284348403,1.752004834307817,0.5161350133799697,4,190,3,0.010232800082981152,1.2348773805834379,0.9940290132049693,0.9056001543124383,1.0301836773365098,6.839056777162818,1.9214876261175833,2.6604163448121922,-61.31033083557791,2.5865917123206312
1,aluminum,47,expected_improvement,18,0.5837439068533272,1.8514862791958295,0.69383828053567,1,217,4,0.032738525844689594,1.4161863986863985,0.8550780440195216,0.6639873371644509,9.20385539232207,74.31745501982164,1.970898922537275,2.726576193122739,-64.48615977108759,2.6525429708179598
1,aluminum,11,random_initialization,77,0.8640469732534523,0.9517318578102858,1.0366506130195974,1,570,1,0.07157411244499004,4.121057774306968,0.6249333090231828,0.9860311438137828,0.0036818828034045287,0.2395918257117939,1.9650128104462241,2.762011659486324,-65.47510435092643,2.655515725317805
1,aluminum,4,random_initialization,22,0.13944821637026594,0.7812855962300833,0.5642459833651412,4,270,3,0.13945854082124465,7.9521134709972285,0.7414839340302958,0.7858508296491826,2.8178806282340303,2.5919974234946976,1.9797151469194778,2.7293396524206672,-64.77747530239006,2.6620500600246446
