feature_family,target,protocol,n,mae,rmse,nrmse_range,r2,median_ape_pct
thermal,eff,held_out_repetition,336,3190.2474669906223,5901.241687138478,0.15881438736113007,0.7227861912629228,28.90440451672398
esn,eff,held_out_repetition,336,2785.3712293149597,5365.9258754909415,0.14440795271927864,0.7707985321494034,25.93684010431374
thermal,eff,held_out_material,336,4614.414696983374,8196.411540948984,0.22058206500379912,0.4652194928134792,55.59514409967954
esn,eff,held_out_material,336,4022.4001979267964,7329.082265576835,0.19724047440112832,0.5724102859423004,50.69979175852581
thermal,eff,held_out_temperature,336,6389.827282392546,10841.157099683254,0.2917575341515681,0.06442344054927751,78.13989389011832
esn,eff,held_out_temperature,336,7077.530408281916,11832.936781635968,0.3184483377039495,-0.11458487415285479,87.99515411994001
