fold,feature_family,target,protocol,held_out_group,n,mae,rmse,nrmse_range,r2,median_ape_pct
1,thermal,eff,held_out_temperature,30C,84,8266.89283906451,13763.470932841592,0.3704029287473354,-0.5079397740774616,90.1261794852216
2,thermal,eff,held_out_temperature,40C,84,6099.006601331392,11047.056073756268,0.29729869331082753,0.028548387751992643,68.16300616637977
3,thermal,eff,held_out_temperature,50C,84,4757.350283701446,8729.623159953442,0.23493187155223955,0.3933767527632873,56.32866229412894
4,thermal,eff,held_out_temperature,60C,84,6436.0594054728335,9079.969631522144,0.24436040595163253,0.34370839575929224,109.71732777400378
