fold,feature_family,target,protocol,held_out_group,n,mae,rmse,nrmse_range,r2,median_ape_pct
1,thermal,eff,held_out_repetition,1,56,3116.5863227680975,5700.731877939205,0.15341826156318453,0.741304254029826,22.91749073055348
2,thermal,eff,held_out_repetition,2,56,3583.2906729577944,6431.052840638977,0.17307268048334853,0.6707754502297358,30.44295831833449
3,thermal,eff,held_out_repetition,3,56,2967.235943475131,5150.292065522492,0.13860480937418856,0.7888496661778169,20.692239201414814
4,thermal,eff,held_out_repetition,4,56,2628.313843677605,4815.351187272291,0.1295908707487909,0.8154202775648702,31.66635927774771
5,thermal,eff,held_out_repetition,5,56,4004.57764862715,7806.793063136974,0.21009664123389168,0.5148529537513109,34.80576449971271
6,thermal,eff,held_out_repetition,6,56,2841.480370437954,4942.873938235813,0.13302276671960278,0.8055145458239774,26.82584605503714
