Sample,Temperature,P_peak_to_peak,dPdt_max_abs,state_mean_rms,state_temporal_variability,state_path_length,state_saturation_fraction
aluminum,30C,3.140955710956555e-06,3.3082737992390603e-06,0.47834934517101746,0.051259837761590224,1.081711624903711,0.0
aluminum,40C,8.844125874126501e-06,9.373329395799087e-06,0.4782590896034447,0.0515130789630405,1.0817177029626783,0.0
aluminum,50C,1.714848484848554e-05,1.8537067350885708e-05,0.47834959571418967,0.05126058601850979,1.081727623981164,0.0
aluminum,60C,2.2425454545455057e-05,2.4210742640858985e-05,0.4783045042870799,0.05138735566540125,1.0817339808332491,0.0
bismuth,30C,2.742517482518194e-06,2.911138945599827e-06,0.47830415962461026,0.0513862757776978,1.0817108394830681,0.0
bismuth,40C,8.411491841492535e-06,9.154933312609703e-06,0.4783494404775514,0.05126012679055075,1.081717758983341,0.0
bismuth,50C,1.50323776223783e-05,1.665937642395454e-05,0.4784399126555577,0.05100753878292452,1.0817257550176875,0.0
bismuth,60C,1.9551398601399042e-05,2.1219457441522874e-05,0.47830445446690795,0.05138717917562372,1.0817304257418057,0.0
cement,30C,1.3262703962709193e-06,1.0949144484625054e-06,0.4783944904784538,0.051133251769657884,1.0817094765737807,0.0
cement,40C,3.947855477856093e-06,3.148490374554542e-06,0.4783493580602129,0.051259820952296135,1.0817118663878742,0.0
cement,50C,3.969766899767962e-06,2.2269071390213727e-06,0.47839452842753744,0.05113326207964099,1.081711397608753,0.0
cement,60C,8.583030303030986e-06,7.015794971691857e-06,0.4784397747494242,0.0510070215349797,1.0817164343218637,0.0
copper,30C,3.0439860139865778e-06,2.9125809800146375e-06,0.4782589896043329,0.051512784516105414,1.0817112814639183,0.0
copper,40C,8.410745920746683e-06,9.07639942349476e-06,0.478304260238636,0.0513865983357556,1.0817176674706996,0.0
copper,50C,1.6404895104895814e-05,1.6751632505486493e-05,0.4783947509479361,0.051134007627231054,1.0817261605148996,0.0
