fold,feature_family,target,protocol,held_out_group,n,mae,rmse,nrmse_range,r2,median_ape_pct
1,esn,eff,held_out_repetition,1,56,3587.6561079657135,6092.4774456310215,0.1639609296376016,0.7045282824562422,40.183919737010974
2,esn,eff,held_out_repetition,2,56,2678.6706364093657,5579.732960224273,0.15016193518188445,0.7521694243438471,26.3839160506394
3,esn,eff,held_out_repetition,3,56,2668.6436805690005,5243.872492489856,0.1411232485376287,0.7811067837092773,20.541035291189825
4,esn,eff,held_out_repetition,4,56,2702.6688123816884,5079.971496374116,0.13671234017867584,0.7945762715473429,26.45727491059473
5,esn,eff,held_out_repetition,5,56,2627.744944899495,5141.111664728243,0.13835774616187416,0.7896017466532073,26.24345073950497
6,esn,eff,held_out_repetition,6,56,2446.843193664496,4977.1400828159885,0.1339449381959192,0.8028086841865038,21.74482729451508
