n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct,fold,held_out_material
24,7784.901958852341,8837.368985277157,0.23783153032690033,-6842.074279735702,27.439159637062943,1,aluminum
24,6772.076388656004,7425.010720054996,0.19982210374900827,6772.076388656004,222.9159204075739,2,bismuth
24,264.8002163928274,384.54403819243817,0.010348860303757626,211.63221404767623,18.571487180272662,3,cement
24,22598.37005086525,23057.4269637047,0.9637942706321346,-22598.37005086525,60.701377102473884,4,copper
24,104.12653297494091,118.63423464011424,0.0031926879618384596,39.458602014503725,64.26144380030942,5,cork
24,3695.9807426631273,4136.835098104941,0.11133062608695352,-1255.4383624294867,33.506882245256264,6,graphite
24,297.2424257968288,440.53784188377836,0.01185576717195804,208.08877684318546,41.445463234683885,7,gypsum
24,4759.774597167969,5797.739474413053,0.15602893281173671,283.3912541445923,22.898904492227413,8,iron
24,5475.597148476964,6330.707812370999,0.17037219217360067,-3941.6557773299555,29.170735452683065,9,nickel
24,226.724293486733,250.5715291293863,0.00674338825599285,-182.6801078625857,53.541321407009775,10,pdms
24,109.00763611008993,167.7541783291522,0.004515577580112948,109.00763611008993,118.53907621245423,11,ps_foam
24,118.45282076560399,155.97526320238214,0.004197610805021763,118.45282076560399,214.40970823752457,12,pu_foam
24,5036.925135193629,6076.74320228274,0.16353748922447728,4538.341863692679,55.80328130607578,13,titanium
24,1143.2065185981803,2261.280269557513,0.060855640168794245,819.1656903444715,53.78880606854223,14,wood
