optuna_trial_number,performance_index,params_colsample_bytree,params_input_magnitude,params_leak_rate,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_res_size,params_spectral_radius,params_subsample,user_attrs_duration_seconds,user_attrs_mean_fold_nrmse_training_range,user_attrs_objective_J,user_attrs_pooled_mae,user_attrs_pooled_nrmse_range,user_attrs_pooled_r2,user_attrs_pooled_rmse,user_attrs_prediction_range_coverage,user_attrs_sd_fold_nrmse_training_range,user_attrs_worst_fold_nrmse_training_range,state,trial,res_size,leak_rate,input_magnitude,spectral_radius,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda
86,0.278501190160725,0.6053473823373768,0.5452250913367468,0.2278420823756697,0.1326097065459352,2,8.141832764065489,1101,0.0001190179149463,0.0116222014830349,11,0.3625215829868904,0.9430576972687108,36.04891949999728,0.1655988384694067,0.278501190160725,4595.672593854356,0.2168280016428044,0.483267345802077,8056.917660261174,0.7617467733241128,0.2466927540716825,0.9933535008948312,COMPLETE,87,11,0.2278420823756697,0.5452250913367468,0.3625215829868904,1101,2,0.1326097065459352,8.141832764065489,0.9430576972687108,0.6053473823373768,0.0001190179149463,0.0116222014830349
70,0.2785272809198609,0.5070825792128658,0.9348204445539716,0.2736475497955472,0.12264698718499,2,5.4294072867206795,1023,0.0016825292596294,0.0154595434241471,12,0.3774508587135405,0.9005320524116303,34.90703862500959,0.17092865717691,0.2785272809198609,4745.281808937928,0.2184529769282014,0.4754932189661325,8117.2986626003985,0.894705639706664,0.2402972159666377,0.9686338547736,COMPLETE,71,12,0.2736475497955472,0.9348204445539716,0.3774508587135405,1023,2,0.12264698718499,5.4294072867206795,0.9005320524116303,0.5070825792128658,0.0016825292596294,0.0154595434241471
88,0.2790812387363579,0.7717919667899844,0.9500659044498614,0.3978792972603617,0.1306122335386137,2,5.135138058938817,1074,0.0035758725898362,0.0299355663258826,10,0.4045251355248289,0.8524181015499477,36.418198583007324,0.1714840455004941,0.2790812387363579,4727.655346100168,0.2192218450677556,0.4717946084400839,8145.868345690459,0.8702895813454521,0.2394375746744089,0.9617124808287422,COMPLETE,89,10,0.3978792972603617,0.9500659044498614,0.4045251355248289,1074,2,0.1306122335386137,5.135138058938817,0.8524181015499477,0.7717919667899844,0.0035758725898362,0.0299355663258826
95,0.2795548768528685,0.7737805446034977,1.4254242864056144,0.0981046766705242,0.0404715542953456,2,3.810270192668098,629,0.1241529625189727,2.1362806081211616,10,0.3250614177529048,0.7258258199477567,26.342864333011676,0.1691615848248867,0.2795548768528685,4710.509581475469,0.2184880042266756,0.4753250040144291,8118.600210636304,0.774017844381914,0.2442674905047714,0.9846413414476772,COMPLETE,96,10,0.0981046766705242,1.4254242864056144,0.3250614177529048,629,2,0.0404715542953456,3.810270192668098,0.7258258199477567,0.7737805446034977,0.1241529625189727,2.1362806081211616
94,0.2800679956846656,0.8528649909514089,1.2787207096487203,0.1685797500213925,0.0418085652176218,2,5.6279314513292915,958,0.0260562380792352,1.8251801979606133,11,0.4065476431041372,0.7378528290162915,35.46254104198306,0.169646624003932,0.2800679956846656,4715.171303069761,0.2188470814718013,0.4735990175813481,8131.942840627505,0.7327159924475165,0.2448836568514573,0.988382583179208,COMPLETE,95,11,0.1685797500213925,1.2787207096487203,0.4065476431041372,958,2,0.0418085652176218,5.6279314513292915,0.7378528290162915,0.8528649909514089,0.0260562380792352,1.8251801979606133
96,0.2801578873863897,0.8416855518158629,1.4454134509244845,0.438495203694366,0.0268541781145505,3,3.3534861386611836,816,0.1589460641580664,6.7710718941528825,11,0.4215567406849033,0.7899527773345592,42.652205084013985,0.1710608472999456,0.2801578873863897,4764.157086611672,0.2194355931701124,0.470764072984264,8153.810820129544,0.7453905619692781,0.2428891768651092,0.9792809573973188,COMPLETE,97,11,0.438495203694366,1.4454134509244845,0.4215567406849033,816,3,0.0268541781145505,3.3534861386611836,0.7899527773345592,0.8416855518158629,0.1589460641580664,6.7710718941528825
92,0.2807852941618764,0.9312085639289148,1.541708563187131,0.2053067293227743,0.0406324913502364,2,8.195663593606886,930,0.0010475628659717,0.2506451967475396,10,0.6376024326552497,0.7354448851875108,33.28228237500298,0.1703876104718866,0.2807852941618764,4722.589573642888,0.2197739286214055,0.4691308163702999,8166.382724366829,0.8621134734001318,0.2440454621618837,0.9815316541308914,COMPLETE,93,10,0.2053067293227743,1.541708563187131,0.6376024326552497,930,2,0.0406324913502364,8.195663593606886,0.7354448851875108,0.9312085639289148,0.0010475628659717,0.2506451967475396
97,0.2812267015398221,0.8685323714864439,1.690588409894127,0.1274105385674962,0.0578998007414313,2,4.349633268489495,545,1.7310866970513132,10.87553278982958,14,0.345042144369075,0.7356978359044778,26.89965666702483,0.1693681479828948,0.2812267015398221,4806.405573314305,0.2196675392695983,0.469644664017349,8162.4294976574365,0.7343410435453448,0.2462366490808949,0.9909231204924934,COMPLETE,98,14,0.1274105385674962,1.690588409894127,0.345042144369075,545,2,0.0578998007414313,4.349633268489495,0.7356978359044778,0.8685323714864439,1.7310866970513132,10.87553278982958
58,0.2817380973558326,0.4395913079590117,1.6513972000222124,0.3352848069560145,0.1052478749295109,3,4.640537631920614,829,0.1437854416626742,0.0814579198302274,11,0.3253128257744705,0.9645861576672676,35.11040800000774,0.1713441906111397,0.2817380973558326,4677.297994079728,0.2201775407228401,0.4671791565364307,8181.380185226618,0.7288250193429693,0.24624222653197,0.9963580594691688,COMPLETE,59,11,0.3352848069560145,1.6513972000222124,0.3253128257744705,829,3,0.1052478749295109,4.640537631920614,0.9645861576672676,0.4395913079590117,0.1437854416626742,0.0814579198302274
30,0.281812235297987,0.7240022646986057,1.8118841563481127,0.210418199240217,0.0297323027595639,3,0.6584721726504305,1033,0.7430070509808311,0.0499124553716153,10,0.4802461085237022,0.8735742079930994,49.386128584010294,0.1739647054777995,0.281812235297987,4821.0869596374705,0.2210716320078505,0.4628430400721942,8214.60292310875,0.8376291585069962,0.2429624131605459,0.9831411532786092,COMPLETE,31,10,0.210418199240217,1.8118841563481127,0.4802461085237022,1033,3,0.0297323027595639,0.6584721726504305,0.8735742079930994,0.7240022646986057,0.7430070509808311,0.0499124553716153
91,0.2818773586173979,0.9065088063720494,1.6506085392106284,0.2640517986455285,0.0780336938842183,2,5.866153879736447,1104,0.0007251579860289,0.0366661336599938,10,0.686928180025879,0.7803578764209536,38.49195837500156,0.1726547586519436,0.2818773586173979,4778.0661918929045,0.2212914703859419,0.4617741880602222,8222.771700653295,0.8697506337675207,0.2423435529258236,0.9727292250124818,COMPLETE,92,10,0.2640517986455285,1.6506085392106284,0.686928180025879,1104,2,0.0780336938842183,5.866153879736447,0.7803578764209536,0.9065088063720494,0.0007251579860289,0.0366661336599938
