fold,feature_family,target,protocol,held_out_group,n,mae,rmse,nrmse_range,r2,median_ape_pct
1,esn,eff,held_out_temperature,30C,84,8381.900659467525,13893.970296149759,0.37391493139585824,-0.5366706222740372,92.64607679529455
2,esn,eff,held_out_temperature,40C,84,8358.435955394929,13849.290259005673,0.37271250094096336,-0.5268033052302956,94.12420169733771
3,esn,eff,held_out_temperature,50C,84,6593.43746095859,11621.122035280925,0.31274797310953795,-0.07503890179835349,75.2106602076237
4,esn,eff,held_out_temperature,60C,84,6847.439492917723,9591.0486968915,0.25811458057502285,0.2677485361025361,139.19648731303013
