feature_family,target,protocol,n,mae,rmse,nrmse_range,r2,median_ape_pct
thermal,eff,held_out_repetition,336,2879.5579154074735,5757.086419300523,0.15493487661401717,0.7361643038812002,26.453817064813954
esn,eff,held_out_repetition,336,2966.706666852151,5934.764715066543,0.15971656006056198,0.7196277232225581,28.862715928867587
thermal,eff,held_out_material,336,4651.428952848159,8192.864890866691,0.22048661745396717,0.4656821999302482,54.7428503361102
esn,eff,held_out_material,336,4558.055513609765,8264.158569489544,0.22240527499986745,0.456342554934292,58.059982211314285
thermal,eff,held_out_temperature,336,6303.65679447891,10714.31416933406,0.288343933532837,0.08618809845772679,72.10232857797612
esn,eff,held_out_temperature,336,7545.303392184692,12368.143997115303,0.33285184980257404,-0.21769107330003812,88.3030662504782
